Country,Km
Afganistan ,3.7
Albania ,2.8
Algeria ,6
Angola ,4.2
Argentina ,4.8
Australia ,2.3
Austria ,2.4
Azerbaijan ,2.3
Bangaldesh ,2.5
Belarus ,2.5
Belgium ,2.9
Benin ,4.5
Bhutan ,2.1
Bolivia ,5.5
Bos & Herz ,2 4
Botswana ,29
Brazil ,4.5
Bulgaria,9.5
Burkina Faso ,10
Burundi ,3.3
Cambodia ,3.0
Cameroon ,3.5
Canada ,2.8
Central Africa Republic ,2.7
Chad ,11
Chile ,3.2
China ,2.7
Colombia ,3.1
Costa Rica ,3.0
Croatia ,2.4
Cuba ,3.5
Czech Rep ,2.6
Denmark ,2.9
Djibouti ,35
Ecuador ,3.6
Egypt ,2.2
El Salvador ,2.9
Eritrea ,19
Estonia ,2.9
Ethiopia ,6.7
Finland ,2.7
France ,2.4
Gabon ,5.6
Gambia ,3.5
Georgia,2
Germany ,2.8
Ghana ,4
Greece ,7.5
Guatemala ,3.3
Guinea ,3.4
Guinea-Bissau ,3
Haiti ,2.7
Honduras ,2.9
Hungary ,2.8
Iceland ,7
India ,3.2
Indonesia ,3.5
Iraq ,2
Ireland ,2.4
Israel ,12
Italy ,2.6
Ivory Coast ,3.8
Jamaica ,5.2
Japan ,2.2
Kazakhstan ,2.7
Kenya ,3.7
Kuwait ,88
Kyrgyzstan ,1.9
Laos ,2 3
Latvia ,2.3
Lesotho ,2.4
Liberia ,3.6
Libya ,233
Lithuania ,2.2
Luxembourg ,3.5
Macedonia ,2.4
Malawi,2.5
Malaysia ,2.5
Mali ,9.6
Mauritania ,21
Mexico ,4.4
Moldova ,2.6
Moldova ,2.6
Mongolia ,2.8
Morocco ,6.2
Mozarribique ,3.2
Myanmar ,2.2
Namibia ,25
Nepal ,2.2
Netherlands ,2.2
New Zealand ,2.5
Nicaragua ,4.3
Niger ,30
Nigeria ,3.5
North Korea ,2.9
Norway ,2 3
Oman ,34
Pakistan ,2.7
Panama ,3.0
Papua new guinea ,2.1
Paraguay ,4.1
Peru ,3.7
Philippines ,2.3
Poland ,2.8
Portugal ,3.7
Puerto Rico ,2.6
Qatar ,185
Republic ,3.9
Romania ,2 4
Russia ,2.6
Rwanda ,4.3
Saudi Arabia ,223
Senegal ,14
Sierra Leone ,3.2
Singapore ,6.6
Slovakia ,2.4
Slovenia ,2.5
Somalia ,85
South Africa ,3
South Korea ,3.6
Spain ,3.4
Sri Lanka ,3.4
Sudan ,20
Swaziland ,2.2
Sweden ,2 2
Switzerland ,2.5
Taiwan ,2.3
Tajikistan ,1.9
Tanzania ,3
Thailand ,2.4
Togo ,"3,4"
Trinidad & Tobago ,4.8
Tunisia ,8.1
Turkmenistan ,2.6
UAE ,176
Uganda ,3.3
UK ,2.4
Ukraine ,2.6
Uruguay ,9.7
USA ,3.6
Uzbekistan ,2.3
Venezuela ,5.0
Vietnam ,2.1
Yemen ,23
Zaire ,2.9
Zambia,3 0
Zimbabwe ,3.6
