alpha3,Country,Year,Nat Safely managed,Nat Accesible On Premises,Nat Available When needed,Nat Free From Contamination,Nat Piped,Nat NonPiped,Rural Safely managed,Rural Accesible On Premises,Rural Available When needed,Rural Free From Contamination,Rural Piped,Rural NonPiped,Urban Safely managed,Urban Accesible On Premises,Urban Available When needed,Urban Free From Contamination,Urban Piped,Urban NonPiped
AFG,Afghanistan,2015,23,37,,23,17,48,20,25,,20,11,46,32,73,,32,35,54
AFG,Afghanistan,2020,28,48,,28,22,54,24,35,,24,16,53,36,87,,36,42,58
ALB,Albania,2015,71,81,71,96,81,16,,78,68,,73,23,,83,72,,87,11
ALB,Albania,2020,71,82,71,96,81,16,,88,68,,76,21,,79,72,,84,14
DZA,Algeria,2015,76,77,76,84,75,24,66,66,67,73,62,35,79,82,79,88,80,19
DZA,Algeria,2020,72,79,72,85,72,28,69,71,69,75,60,39,74,81,74,89,76,24
ASM,American Samoa,2015,96,96,,98,100,0,,,,,,,,,,,,
ASM,American Samoa,2020,98,99,,98,100,0,,,,,,,,,,,,
AND,Andorra,2015,91,100,100,91,100,0,,100,100,,100,0,,100,100,,100,0
AND,Andorra,2020,91,100,100,91,100,0,,100,100,,100,0,,100,100,,100,0
AGO,Angola,2015,,33,31,,38,28,,7,24,,9,28,,48,35,,55,27
AGO,Angola,2020,,39,31,,42,24,,7,23,,8,28,,55,35,,59,22
AIA,Anguilla,2015,,88,88,,,,,,,,,,,88,88,,,
AIA,Anguilla,2017,,88,88,,,,,,,,,,,88,88,,,
ATG,Antigua and Barbuda,2015,,75,90,,94,2,,,,,,,,,,,,
ATG,Antigua and Barbuda,2017,,75,90,,94,2,,,,,,,,,,,,
ARG,Argentina,2015,,97,,,96,3,,86,,,82,11,,98,,,98,2
ARG,Argentina,2020,,,,,,,,,,,,,,100,,,99,0
ARM,Armenia,2015,84,98,91,84,97,2,,97,91,,94,5,,99,91,,100,0
ARM,Armenia,2020,87,100,92,87,100,0,,100,92,,100,0,,100,91,,100,0
ABW,Aruba,2015,,96,,,94,4,,,,,,,,,,,,
ABW,Aruba,2016,,96,,,94,4,,,,,,,,,,,,
AUS,Australia,2015,,97,96,,91,9,,88,,,84,16,99,99,,100,92,8
AUS,Australia,2020,,97,96,,,,,88,,,,,99,99,,100,,
AUT,Austria,2015,99,100,99,100,,,,100,100,,,,,100,99,,,
AUT,Austria,2020,99,100,99,100,,,,100,100,,,,,100,99,,,
AZE,Azerbaijan,2015,85,87,,89,81,12,72,72,,81,64,22,96,100,,96,96,4
AZE,Azerbaijan,2020,88,90,,92,91,6,78,78,,87,79,14,96,100,,96,100,0
BHS,Bahamas,2015,,98,,,97,2,,,,,,,,,,,,
BHS,Bahamas,2019,,98,,,97,2,,,,,,,,,,,,
BHR,Bahrain,2015,99,99,100,100,,,,,,,,,,,,,,
BHR,Bahrain,2020,99,99,100,100,,,,,,,,,,,,,,
BGD,Bangladesh,2015,56,77,95,56,13,85,61,74,95,61,2,96,47,82,96,47,35,64
BGD,Bangladesh,2020,59,82,96,59,15,83,62,81,96,62,3,96,53,84,96,53,36,63
BRB,Barbados,2015,,98,89,,99,0,,,,,,,,,,,,
BRB,Barbados,2020,,98,89,,99,0,,,,,,,,,,,,
BLR,Belarus,2015,94,94,,99,92,8,,94,,,74,26,,95,,,97,3
BLR,Belarus,2020,95,95,,100,96,4,,94,,,85,14,,95,,,100,0
BEL,Belgium,2015,100,100,,100,100,0,,100,,,100,0,,100,,,100,0
BEL,Belgium,2020,100,100,,100,100,0,,100,,,100,0,,100,,,100,0
BLZ,Belize,2015,,95,,,83,15,,93,,,75,22,,98,,,93,7
BLZ,Belize,2020,,97,,,87,13,,96,,,79,20,,98,,,96,4
BEN,Benin,2015,,29,57,,38,35,,14,53,,26,43,,46,61,,53,26
BEN,Benin,2020,,25,58,,37,38,,10,55,,26,45,,40,61,,49,30
BMU,Bermuda,2015,,100,,,100,0,,,,,,,,100,,,100,0
BMU,Bermuda,2020,,100,,,100,0,,,,,,,,100,,,100,0
BTN,Bhutan,2015,36,86,86,36,98,1,27,82,87,27,97,2,49,92,85,49,100,0
BTN,Bhutan,2020,37,88,87,37,100,0,28,83,89,28,100,0,49,96,85,49,100,0
BOL,Bolivia,2015,,83,,,70,20,,57,,,32,42,,95,81,,88,10
BOL,Bolivia,2020,,86,,,69,25,,62,,,26,54,,96,80,,87,13
BIH,Bosnia and Herzegovina,2015,89,91,89,92,95,5,,92,88,,93,7,,90,90,,98,2
