alpha3,Country,Year,Population,Urb %,National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Rural At Least Basic,Rural Limit (more than 30 mins),Rural Unimproved,Rural Surface Water,Urban At Least Basic,Urban Limit (more than 30 mins),Urban Unimproved,Urban Surface Water
AFG,Afghanistan,2015,34414.00,25,61,4,22,13,53,4,27,17,87,2,9,2
AFG,Afghanistan,2020,38928.00,26,75,1,15,9,66,2,20,12,100,0,0,0
ALB,Albania,2015,2891.00,57,93,4,3,0,91,5,4,0,95,2,2,0
ALB,Albania,2020,2878.00,62,95,2,3,0,94,2,4,0,96,2,3,0
DZA,Algeria,2015,39728.00,71,93,5,1,0,88,9,3,0,95,4,0,0
DZA,Algeria,2020,43851.00,74,94,5,0,0,90,9,0,0,96,4,0,0
ASM,American Samoa,2015,56.00,87,100,0,0,0,,,,,,,,
ASM,American Samoa,2020,55.00,87,100,0,0,0,,,,,,,,
AND,Andorra,2015,78.00,88,100,0,0,0,100,0,0,0,100,0,0,0
AND,Andorra,2020,77.00,88,100,0,0,0,100,0,0,0,100,0,0,0
AGO,Angola,2015,27884.00,63,54,11,17,17,27,10,22,42,70,12,15,3
AGO,Angola,2020,32866.00,67,57,9,19,14,28,9,23,41,72,10,18,0
AIA,Anguilla,2015,14.00,100,97,0,3,0,,,,,97,0,3,0
AIA,Anguilla,2017,15.00,100,97,0,3,0,,,,,97,0,3,0
ATG,Antigua and Barbuda,2015,94.00,25,97,0,3,0,,,,,,,,
ATG,Antigua and Barbuda,2017,95.00,25,97,0,3,0,,,,,,,,
ARG,Argentina,2015,43075.00,92,99,0,0,0,93,0,3,4,100,0,0,0
ARG,Argentina,2020,45196.00,92,,,,,,,,,100,0,0,0
ARM,Armenia,2015,2926.00,63,100,0,0,0,100,0,0,0,100,0,0,0
ARM,Armenia,2020,2963.00,63,100,0,0,0,100,0,0,0,100,0,0,0
ABW,Aruba,2015,104.00,43,98,0,2,0,,,,,,,,
ABW,Aruba,2016,105.00,43,98,0,2,0,,,,,,,,
AUS,Australia,2015,23932.00,86,100,0,0,0,100,0,0,0,100,0,0,0
AUS,Australia,2020,25500.00,86,100,0,0,0,100,0,0,0,100,0,0,0
AUT,Austria,2015,8679.00,58,100,0,0,0,100,0,0,0,100,0,0,0
AUT,Austria,2020,9006.00,59,100,0,0,0,100,0,0,0,100,0,0,0
AZE,Azerbaijan,2015,9623.00,55,92,1,4,2,84,2,9,5,100,0,0,0
AZE,Azerbaijan,2020,10139.00,56,96,1,3,0,91,2,7,0,100,0,0,0
BHS,Bahamas,2015,374.00,83,99,0,1,0,,,,,,,,
BHS,Bahamas,2019,389.00,83,99,0,1,0,,,,,,,,
BHR,Bahrain,2015,1372.00,89,100,0,0,0,,,,,,,,
BHR,Bahrain,2020,1702.00,90,100,0,0,0,,,,,,,,
BGD,Bangladesh,2015,156256.00,34,97,1,0,1,97,1,0,1,98,1,0,0
BGD,Bangladesh,2020,164689.00,38,98,1,0,0,98,0,0,0,97,2,0,0
BRB,Barbados,2015,285.00,31,98,0,1,0,,,,,,,,
BRB,Barbados,2020,287.00,31,99,0,1,0,,,,,,,,
BLR,Belarus,2015,9439.00,77,96,3,0,0,98,0,0,0,96,4,0,0
BLR,Belarus,2020,9449.00,79,97,3,0,0,99,0,0,0,96,4,0,0
BEL,Belgium,2015,11288.00,98,100,0,0,0,100,0,0,0,100,0,0,0
BEL,Belgium,2020,11590.00,98,100,0,0,0,100,0,0,0,100,0,0,0
BLZ,Belize,2015,361.00,45,97,1,2,0,96,1,3,0,100,0,0,0
BLZ,Belize,2020,398.00,46,98,1,0,0,98,1,0,0,99,1,0,0
BEN,Benin,2015,10576.00,46,65,9,21,5,57,12,24,8,74,5,18,2
BEN,Benin,2020,12123.00,48,65,9,22,3,58,13,24,5,73,6,20,1
BMU,Bermuda,2015,64.00,100,100,0,0,0,,,,,100,0,0,0
BMU,Bermuda,2020,62.00,100,100,0,0,0,,,,,100,0,0,0
BTN,Bhutan,2015,728.00,39,96,2,0,0,95,3,0,1,98,1,0,0
BTN,Bhutan,2020,772.00,42,97,2,0,0,97,3,0,0,98,1,0,0
BOL,Bolivia,2015,10870.00,68,90,0,3,7,74,0,6,20,98,0,1,0
BOL,Bolivia,2020,11673.00,70,93,0,2,5,80,0,4,16,100,0,0,0
BIH,Bosnia and Herzegovina,2015,3429.00,47,96,4,0,0,97,3,0,0,95,5,0,0
BIH,Bosnia and Herzegovina,2020,3281.00,49,96,4,0,0,97,3,0,0,95,5,0,0
BWA,Botswana,2015,2121.00,67,88,8,2,2,72,22,2,4,97,2,1,0
BWA,Botswana,2020,2352.00,71,92,5,2,1,79,15,2,4,98,0,2,0
BRA,Brazil,2015,204472.00,86,98,0,0,1,89,3,0,8,100,0,0,0
BRA,Brazil,2020,212559.00,87,100,0,0,,96,0,3,,100,0,0,0
VGB,British Virgin Islands,2015,29.00,47,100,0,0,0,,,,,,,,
VGB,British Virgin Islands,2020,30.00,49,100,0,0,0,,,,,,,,
BRN,Brunei Darussalam,2015,415.00,77,100,0,0,0,100,0,0,0,100,0,0,0
BRN,Brunei Darussalam,2020,437.00,78,100,0,0,0,,,,,100,0,0,0
BGR,Bulgaria,2015,7200.00,74,100,0,0,0,98,0,2,0,100,0,0,0
BGR,Bulgaria,2020,6948.00,76,100,0,0,0,97,0,3,0,100,0,0,0
BFA,Burkina Faso,2015,18111.00,28,50,26,22,2,39,30,29,2,80,14,6,0
BFA,Burkina Faso,2020,20903.00,31,47,31,21,0,33,39,28,0,80,15,5,0
BDI,Burundi,2015,10160.00,12,60,20,15,6,56,21,17,7,89,8,2,1
BDI,Burundi,2020,11891.00,14,62,19,15,4,58,21,17,4,91,8,1,0
CPV,Cabo Verde,2015,525.00,64,85,10,4,0,73,16,10,0,92,7,0,0
CPV,Cabo Verde,2020,556.00,67,89,8,3,0,80,10,10,0,93,7,0,0
KHM,Cambodia,2015,15521.00,22,68,9,10,13,63,9,12,16,89,6,2,4
KHM,Cambodia,2020,16719.00,24,71,14,6,9,65,16,7,12,90,9,0,0
CMR,Cameroon,2015,23298.00,55,64,11,18,7,42,11,32,15,82,11,5,0
CMR,Cameroon,2020,26546.00,58,66,13,15,6,44,13,30,14,82,13,4,1
CAN,Canada,2015,36027.00,81,100,0,0,0,99,0,1,0,100,0,0,0
CAN,Canada,2020,37742.00,82,100,0,0,0,100,0,0,0,100,0,0,0
CYM,Cayman Islands,2015,62.00,100,96,0,4,0,,,,,96,0,4,0
CYM,Cayman Islands,2016,63.00,100,96,0,4,0,,,,,96,0,4,0
CAF,Central African Republic,2015,4493.00,40,42,21,32,4,32,17,44,7,58,27,15,0
CAF,Central African Republic,2020,4830.00,42,37,26,34,4,28,19,46,6,50,34,16,0
TCD,Chad,2015,14111.00,23,44,14,35,7,36,14,41,9,75,12,12,0
TCD,Chad,2020,16426.00,24,46,15,32,8,38,14,39,10,74,16,9,0
CHL,Chile,2015,17969.00,87,100,0,0,0,97,0,3,0,100,0,0,0
CHL,Chile,2020,19116.00,88,100,0,0,0,100,0,0,0,100,0,0,0
CHN,China,2015,1430405.00,56,92,0,7,0,84,2,13,1,98,0,2,0
CHN,China,2020,1463141.00,62,94,0,5,0,90,2,9,0,97,0,2,0
HKG,China Hong Kong SAR,2015,7186.00,100,100,0,0,0,,,,,100,0,0,0
HKG,China Hong Kong SAR,2020,7497.00,100,100,0,0,0,,,,,100,0,0,0
MAC,China Macao SAR,2015,602.00,100,100,0,0,0,,,,,100,0,0,0
MAC,China Macao SAR,2020,649.00,100,100,0,0,0,,,,,100,0,0,0
COL,Colombia,2015,47521.00,80,96,0,2,2,83,0,7,9,100,0,0,0
COL,Colombia,2020,50883.00,81,97,0,0,1,87,0,5,7,100,0,0,0
COM,Comoros,2015,777.00,28,80,11,8,0,77,12,11,0,88,9,2,0
COM,Comoros,2019,851.00,29,80,11,9,,77,12,12,,88,9,2,0
COG,Congo,2015,4856.00,66,71,11,12,7,41,11,29,19,87,10,3,0
COG,Congo,2020,5518.00,68,74,10,10,6,46,11,24,19,87,10,3,0
COK,Cook Islands,2015,18.00,74,100,0,0,0,,,,,,,,
COK,Cook Islands,2020,18.00,75,100,0,0,0,,,,,,,,
CRI,Costa Rica,2015,4848.00,77,100,0,0,0,98,0,0,0,100,0,0,0
CRI,Costa Rica,2020,5094.00,81,100,0,0,0,100,0,0,0,100,0,0,0
CIV,Côte d’Ivoire,2015,23226.00,49,71,9,14,6,56,13,23,8,87,4,6,3
CIV,Côte d’Ivoire,2020,26378.00,52,71,9,14,6,56,13,23,8,85,5,6,4
HRV,Croatia,2015,4233.00,56,,,,,,,,,100,0,0,0
HRV,Croatia,2020,4105.00,58,,,,,,,,,100,0,0,0
CUB,Cuba,2015,11325.00,77,96,2,2,0,90,3,5,1,98,1,1,0
CUB,Cuba,2020,11327.00,77,97,1,1,0,94,3,2,1,98,1,1,0
NLD,Curaçao,2015,160.00,89,100,0,0,0,,,,,,,,
NLD,Curaçao,2017,162.00,89,100,0,0,0,,,,,,,,
CYP,Cyprus,2015,1161.00,67,100,0,0,0,100,0,0,0,100,0,0,0
CYP,Cyprus,2020,1207.00,67,100,0,0,0,100,0,0,0,100,0,0,0
CZE,Czech Republic,2015,10601.00,73,100,0,0,0,100,0,0,0,100,0,0,0
CZE,Czech Republic,2020,10709.00,74,100,0,0,0,100,0,0,0,100,0,0,0
PRK,Democratic People’s Republic of Korea,2015,25184.00,61,95,0,4,0,92,0,7,0,97,0,2,0
PRK,Democratic People’s Republic of Korea,2020,25779.00,62,94,0,5,0,89,0,10,0,97,0,2,0
COD,Democractic Republic of Congo,2015,76245.00,43,43,13,34,10,21,12,51,17,72,14,12,2
COD,Democractic Republic of Congo,2020,89561.00,46,46,13,33,8,22,13,51,14,75,14,10,0
DNK,Denmark,2015,5689.00,88,100,0,0,0,100,0,0,0,100,0,0,0
DNK,Denmark,2020,5792.00,88,100,0,0,0,100,0,0,0,100,0,0,0
DJI,Djibouti,2015,914.00,77,76,15,7,2,49,12,30,8,84,15,0,0
DJI,Djibouti,2020,988.00,78,76,15,7,2,47,12,31,10,84,16,0,0
DMA,Dominica,2015,71.00,70,95,0,5,0,,,,,,,,
DMA,Dominica,2017,71.00,70,95,0,5,0,,,,,,,,
DOM,Dominican Republic,2015,10282.00,79,96,0,2,2,89,2,2,7,98,0,1,0
DOM,Dominican Republic,2020,10848.00,83,97,0,1,2,90,1,1,7,98,0,1,0
ECU,Ecuador,2015,16212.00,63,93,0,3,4,83,0,7,10,100,0,0,0
ECU,Ecuador,2020,17643.00,64,95,0,3,2,87,0,7,6,100,0,0,0
EGY,Egypt,2015,92443.00,43,100,0,0,0,99,0,0,0,100,0,0,0
EGY,Egypt,2020,102334.00,43,100,0,0,0,100,0,0,0,100,0,0,0
SLV,El Salvador,2015,6325.00,70,96,0,1,3,88,2,2,8,99,0,0,0
SLV,El Salvador,2020,6486.00,73,98,0,0,2,93,0,0,6,100,0,0,0
GNQ,Equatorial Guinea,2015,1169.00,71,64,3,26,7,31,1,46,22,78,4,18,0
GNQ,Equatorial Guinea,2017,1262.00,72,65,3,26,6,31,1,46,22,78,4,18,0
ERI,Eritrea,2015,3343.00,38,51,18,14,17,28,24,20,28,90,7,3,0
ERI,Eritrea,2016,3377.00,39,52,18,13,17,28,24,20,28,90,7,3,0
EST,Estonia,2015,1315.00,68,100,0,0,0,100,0,0,0,100,0,0,0
EST,Estonia,2020,1327.00,69,100,0,0,0,,,,,100,0,0,0
SWZ,Eswatini,2015,1104.00,23,67,9,11,14,58,11,13,17,95,0,2,2
SWZ,Eswatini,2020,1160.00,24,71,10,10,10,62,12,12,13,97,0,2,0
ETH,Ethiopia,2015,100835.00,19,42,22,24,12,32,24,30,14,82,14,2,2
ETH,Ethiopia,2020,114964.00,22,50,27,19,5,40,30,23,6,84,14,1,0
FRO,Faeroe Islands,2015,48.00,42,100,0,0,0,,,,,,,,
FRO,Faeroe Islands,2020,49.00,42,100,0,0,0,,,,,,,,
FLK,Falkland Islands,2015,3.00,76,95,0,5,0,78,0,22,0,100,0,0,0
FLK,Falkland Islands,2020,3.00,79,95,0,5,0,78,0,22,0,100,0,0,0
