alpha3,Entity,Population,YearPBO,PBO,Terrain Ruggedness,Urban %,Urban Agg %,RoadQuality,Km,Urb %,Average household size (number of members),National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped,No. HPs,Year of HP estimate,2015 (C),No. HPs in 2015,Non-functional HPs,Functional HPS,Risk
ABW,Aruba,107195.0,,,46.2,43.6969985961914,,,,43.0,2.89,98.0,0.0,2.0,0.0,96.0,94.0,4.0,,,,,,,0.0
AFG,Afghanistan,39835428.0,2011.0,31.82,251.8,26.0259990692139,10.8843231201172,,3.7,26.0,8.04,75.0,1.0,15.0,9.0,48.0,22.0,54.0,,,,,,,0.0
AGO,Angola,33933611.0,2008.0,8.7,85.8,66.8249969482422,25.4372482299805,,4.2,67.0,4.82,57.0,9.0,19.0,14.0,39.0,42.0,24.0,4389.0,3862492.0,3862492.0,4389.0,1097.0,3292.0,0.0
AIA,Anguilla,15125.0,,,1.3,,,,,100.0,,97.0,0.0,3.0,0.0,88.0,,,,,,,,,0.0
ALB,Albania,2872934.0,2008.0,21.4,342.7,62.1119995117188,,3.9,2.8,62.0,3.30,95.0,2.0,3.0,0.0,82.0,81.0,16.0,,,,,,,0.0
AND,Andorra,77354.0,,,571.7,87.9160003662109,,,,88.0,,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0
ARE,United Arab Emirates,9991083.0,2002.0,66.35,76.9,87.0479965209961,61.7550086975098,6.1,176.0,87.0,,100.0,0.0,0.0,0.0,99.0,100.0,0.0,,,,,,,0.0
ARG,Argentina,45605823.0,2001.0,72.49,77.5,92.1110000610352,42.7819137573242,4.9,4.8,92.0,2.95,99.0,0.0,0.0,0.0,97.0,96.0,3.0,,,,,,,0.0
ARM,Armenia,2968128.0,2010.0,4.0,268.8,63.3129997253418,36.6974716186523,3.6,,63.0,3.54,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0
ASM,American Samoa,55103.0,,,264.7,87.1529998779297,,,,87.0,,100.0,0.0,0.0,0.0,99.0,100.0,0.0,,,,,,,0.0
ATG,Antigua and Barbuda,98728.0,,,0.6,24.4330005645752,,,,25.0,,97.0,0.0,3.0,0.0,75.0,94.0,2.0,,,,,,,0.0
AUS,Australia,25788217.0,2000.0,57.99,14.3,86.2409973144531,61.2379684448242,5.6,2.3,86.0,2.55,100.0,0.0,0.0,0.0,97.0,91.0,9.0,,,,,,,0.0
AUT,Austria,9043072.0,2002.0,84.85,351.3,58.7480010986328,21.7551460266113,5.9,2.4,59.0,2.27,100.0,0.0,0.0,0.0,100.0,,,,,,,,,0.0
AZE,Azerbaijan,10223344.0,2006.0,6.9,167.2,56.3969993591309,23.3000106811523,4.2,2.3,56.0,4.55,96.0,1.0,3.0,0.0,90.0,91.0,6.0,,,,,,,0.0
BDI,Burundi,12255429.0,2010.0,20.5,178.0,13.7080001831055,,3.1,3.3,14.0,4.83,62.0,19.0,15.0,4.0,11.0,38.0,43.0,229.0,4470806.0,4687470.0,240.0,139.0,101.0,0.0
BEL,Belgium,11632334.0,2002.0,72.77,38.8,98.0790023803711,27.1465663909912,5.5,2.9,98.0,2.36,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0
BEN,Benin,12451031.0,2006.0,39.5,14.1,48.415000915527300,,4.2,4.5,48.0,5.19,65.0,9.0,22.0,3.0,25.0,37.0,38.0,13003.0,2579406.0,2506177.0,12634.0,1516.0,11118.0,0.0
BES,Bonaire Sint Eustatius and Saba,26445.0,,,,,,,,,,,,,,,,,,,,,,,0.0
BFA,Burkina Faso,21497097.0,2010.0,84.2,23.6,30.6070003509522,13.5582590103149,,10.0,31.0,5.92,47.0,31.0,21.0,0.0,20.0,28.0,50.0,52596.0,8512737.0,8058463.0,49789.0,5477.0,44312.0,0.0
BGD,Bangladesh,166303494.0,2011.0,25.4,18.6,38.1769981384277,16.1595649719238,3.0,2.5,38.0,4.26,98.0,1.0,0.0,0.0,82.0,15.0,83.0,,,,,,,0.0
BGR,Bulgaria,6896655.0,2000.0,22.62,147.9,75.6859970092773,18.66188621521,4.2,9.5,76.0,2.34,100.0,0.0,0.0,0.0,98.0,100.0,0.0,,,,,,,0.0
BHR,Bahrain,1748295.0,,,23.1,89.5059967041016,,5.1,,90.0,,100.0,0.0,0.0,0.0,99.0,,,,,,,,,0.0
BHS,Bahamas,396914.0,,,5.5,83.245002746582,,,,83.0,3.4,99.0,0.0,1.0,0.0,98.0,97.0,2.0,,,,,,,0.0
BIH,Bosnia and Herzegovina,3263459.0,2012.0,45.58,231.1,49.0200004577637,,3.4,2.4,49.0,3.5,96.0,4.0,0.0,0.0,91.0,95.0,5.0,,,,,,,0.0
BLR,Belarus,9442867.0,2000.0,38.49,16.4,79.4830017089844,21.7567176818848,,2.5,79.0,2.34,97.0,3.0,0.0,0.0,95.0,96.0,4.0,,,,,,,0.0
BLZ,Belize,404915.0,2011.0,70.92,60.7,46.0250015258789,,,,46.0,3.75,98.0,1.0,0.0,0.0,97.0,87.0,13.0,,,,,,,0.0
