alpha3,Country,Year,Data source,Spatial Adjustment,No. HPs,Year of HP estimate,2015 (C),Temporal factor,No. HPs in 2015,% non- functional,Non-functional HPs,Functional HPS
AGO,Angola,2015,See Table 1,No,4389.0,3862492.0,3862492,1.0,4389,25%,1097,3292
BEN,Benin,2016,See Table 1,No,13003.0,2579406.0,2506177,0.97,12634,12%,1516,11118
BWA,Botswana,-,-,-,,,156859,,414,,108,306
BFA,Burkina Faso,2017,See Table 1,No,52596.0,8512737.0,8058463,0.95,49789,11%,5477,44312
BDI,Burundi,2012,See Table 1,No,229.0,4470806.0,4687470,1.05,240,58%,139,101
CMR,Cameroon,2011-15,See Table 1,Multiplied 6899 by 1.67 in proportion to total number of communes,11521.0,4102652.0,4345668,1.06,12203,32%,3905,8298
CAF,Central African Rep.,2003,See Table 1,No,3177.0,1196004.0,1572640,1.31,4177,25%,1044,3133
TCD,Chad,2000,See Table 1,No,3267.0,1106678.0,4041010,3.65,11929,16%,1909,10020
COG,Congo (Brazzaville),2008,See Table 1,No,511.0,407678.0,695285,1.71,871,50%,436,435
COD,Dem. Rep. of Congo,2011,See Table 1,Multiplied 2214 by 1.34 in proportion to total rural population,2965.0,9449129.0,10679065,1.13,3351,25%,838,2513
CIV,Cote d’Ivoire,2016,See Table 1,No,22807.0,4132116.0,4144538,1.0,22876,30%,6863,16013
GNQ,Equatorial Guinea,-,-,-,,,48864,,129,,34,95
ERI,Eritrea,2006,See Table 1,No,864.0,975624.0,464092,0.48,411,43%,177,234
ETH,Ethiopia,2010-11,MoWIE (2015),No,47974.0,19376530.0,29006747,1.5,71817,33%,23700,48117
GAB,Gabon,2012,See Table 1,No,1158.0,84888.0,96954,1.14,1323,47%,622,701
GHA,Ghana,2016,CWSA (2017),No,32361.0,7704331.0,7517159,0.98,31575,26%,8209,23366
GIN,Guinea,2012,See Table 1,No,12815.0,4476494.0,4865346,1.09,13928,18%,2507,11421
GNB,Guinea-Bissau,2009,DGRE & UNDP (2010),No,3190.0,425647.0,526897,1.24,3949,36%,1422,2527
KEN,Kenya,2013,See Table 1,Multiplied 2580 HPs by 7.16 based on data from KNBS (2012)c,18473.0,11978646.0,13050415,1.09,20126,24%,4830,15296
LSO,Lesotho,2015a,Leketa et al. (2016),No,831.0,338795.0,338795,1.0,831,,216,615
LBR,Liberia,2017,See Table 1,No,12684.0,1526658.0,1443089,0.95,11990,20%,2398,9592
MDG,Madagascar,2018,See Table 1,No,15068.0,3532216.0,3163536,0.9,13495,20%,2699,10796
MWI,Malawi,2007,See Table 1,No,24769.0,7018868.0,10828276,1.54,38212,22%,8407,29805
MLI,Mali,2015-16,See Table 1,Multiplied 19951 HPs by 1.11 based on data from INSTAT (2016)c,22147.0,5580145.0,5580145,1.0,22147,29%,6423,15724
MRT,Mauritania,2003,MAED (2004),No,1190.0,359414.0,491544,1.37,1627,54%,879,748
MOZ,Mozambique,2011-12,1.2,Multiplied 12180 HPs by 1.17  based on data from MISAU et al. (2013)c,14205.0,5266446.0,6852638,1.3,18483,20%,3697,14786
NAM,Namibia,2003,Karuaihe et al. (2014),No,931.0,250949.0,288561,1.15,1071,54%,578,493
NER,Niger,2015,See Table 1,No,10072.0,4565878.0,4565878,1.0,10072,15%,1511,8561
NGA,Nigeria,2006,See Table 1,Multiplied 25470 HPs by 1.04 based on data from ODA (2015)c,26423.0,34256716.0,52581247,1.53,40557,42%,17034,23523
RWA,Rwanda,2008-09,See Table 1,Multiplied 279 HPs by 4.20 based on data from MOH et al. (2009)c,1171.0,3073376.0,3817964,1.24,1455,16%,233,1222
SEN,Senegal,2014,See Table 1,No,2903.0,1034549.0,1034665,1.0,2903,22%,639,2264
SLE,Sierra Leone,2016,See Table 1,No,11895.0,1461299.0,1394525,0.95,11351,25%,2838,8513
SOM,Somalia,2007,MPIC (2009),Multiplied 213 HPs in Puntland by 3.34 in proportion to national population,712.0,1062900.0,1944604,1.83,1303,16%,208,1095
ZAF,South Africa,2000,See Table 1,Multiplied 11963 HPs by 2.85 based on data from SSA (2004)c,34130.0,2506185.0,2215152,0.88,30167,27%,8145,22022
SSD,South Sudan,2009-11,See Table 1,Multiplied 4951 HPs by 2.4 based on data from SSCCSE (2010)c,11790.0,5098594.0,7111235,1.39,16444,20%,3289,13155
SDN,Sudan,2009,See Table 1,Multiplied 7933 HPs by 1.52 based on data from FMH & CBS (2012)c,12058.0,9529205.0,12225957,1.28,15470,35%,5415,10055
SWZ,Swaziland,2013-15,See Table 1,No,801.0,213642.0,222336,1.04,834,28%,233,601
TZA,Tanzania,2011-13,See Table 1,Multiplied 22021 HPs by 1.02 based on data from TNBS (2018)c,22527.0,7825168.0,10007286,1.28,28809,33%,9507,19302
GMB,The Gambia,2015a,Bojang et al. (2016),No,1841.0,235434.0,235434,1.0,1841,46%,847,994
TGO,Togo,2006-7,See Table 1,No,4550.0,1021474.0,1921381,1.88,8558,30%,2568,5990
UGA,Uganda,2016,See Table 1,No,58366.0,21259081.0,20454379,0.96,56157,19%,10670,45487
ZMB,Zambia,2007,See Table 1,No,25624.0,2976680.0,4570494,1.54,39344,27%,10623,28721
ZWE,Zimbabwe,2014-17,See Table 1,Multiplied 29986 by 1.45 based on data from ZNSA (2012)c,43480.0,5964541.0,5964541,1.0,43480,28%,12174,31306
