Name,LoadLimit,PracticalLimit,AverageSpeedWithoutLoad,Drive,GroundContact,Pilot,Crr,Efficiency,Weight
Baby Carriage,20,20,1.2,0,1,0,0.008,1,10
Backpack,30,30,1.2,0,0,0,0,1,0.5
Bicycle,130,40,4.3,2,1,1,0.003,3,11
Buckets,20,20,1.2,0,0,0,0,1,0.5
Cycle Rickshaw,250,250,4.3,2,1,1,0.008,3,34
Hand Cart,227,227,1.2,0,1,0,0.008,1,41.5
Hand Truck,114,114,1.2,0,1,0,0.008,1,12.5
Luggage,20,20,1.2,0,1,0,0.008,1,4
Roller skates,103,10,3.6,1,1,1,0.008,2,3
Rolling Container,158,158,1.2,0,1,0,0.002,1,2
Scooter,100,20,4.0,1,1,1,0.008,2,2.2
Shopping Trolley,195,195,1.2,0,1,0,0.008,1,21.5
Skateboard,123,20,4.0,1,1,1,0.008,2,1
Stretcher,120,120,1.2,0,0,0,0,1,39
Wheelbarrow,150,150,1.2,0,1,0,0.008,1,25
Wheelchair,83,83,1.2,0,1,0,0.008,1,18
