alpha3,Country,Year,Population,Urb %,National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped
ABW,Aruba,2016,105,43,98,0,2,0,96,94,4
AFG,Afghanistan,2020,38928,26,75,1,15,9,48,22,54
AGO,Angola,2020,32866,67,57,9,19,14,39,42,24
AIA,Anguilla,2017,15,100,97,0,3,0,88,,
ALB,Albania,2020,2878,62,95,2,3,0,82,81,16
AND,Andorra,2020,77,88,100,0,0,0,100,100,0
ARE,United Arab Emirates,2020,9890,87,100,0,0,0,99,100,0
ARG,Argentina,2020,45196,92,99,0,0,0,97,96,3
ARM,Armenia,2020,2963,63,100,0,0,0,100,100,0
ASM,American Samoa,2020,55,87,100,0,0,0,99,100,0
ATG,Antigua and Barbuda,2017,95,25,97,0,3,0,75,94,2
AUS,Australia,2020,25500,86,100,0,0,0,97,91,9
AUT,Austria,2020,9006,59,100,0,0,0,100,,
AZE,Azerbaijan,2020,10139,56,96,1,3,0,90,91,6
BDI,Burundi,2020,11891,14,62,19,15,4,11,38,43
BEL,Belgium,2020,11590,98,100,0,0,0,100,100,0
BEN,Benin,2020,12123,48,65,9,22,3,25,37,38
BFA,Burkina Faso,2020,20903,31,47,31,21,0,20,28,50
BGD,Bangladesh,2020,164689,38,98,1,0,0,82,15,83
BGR,Bulgaria,2020,6948,76,100,0,0,0,98,100,0
BHR,Bahrain,2020,1702,90,100,0,0,0,99,,
BHS,Bahamas,2019,389,83,99,0,1,0,98,97,2
BIH,Bosnia and Herzegovina,2020,3281,49,96,4,0,0,91,95,5
BLM,Saint Barthelemy,2020,10,100,100,0,0,0,100,100,0
BLR,Belarus,2020,9449,79,97,3,0,0,95,96,4
BLZ,Belize,2020,398,46,98,1,0,0,97,87,13
BMU,Bermuda,2020,62,100,100,0,0,0,100,100,0
BOL,Bolivia,2020,11673,70,93,0,2,5,86,69,25
BRA,Brazil,2020,212559,87,100,0,0,1,100,98,1
BRB,Barbados,2020,287,31,99,0,1,0,98,99,0
BRN,Brunei Darussalam,2020,437,78,100,0,0,0,100,100,0
BTN,Bhutan,2020,772,42,97,2,0,0,88,100,0
BWA,Botswana,2020,2352,71,92,5,2,1,82,91,6
CAF,Central African Republic,2020,4830,42,37,26,34,4,6,14,49
CAN,Canada,2020,37742,82,100,0,0,0,100,100,0
CHE,Switzerland,2020,8655,74,100,0,0,0,100,100,0
CHL,Chile,2020,19116,88,100,0,0,0,100,100,0
CHN,China,2020,1463141,62,94,0,5,0,93,80,15
CIV,Côte d’Ivoire,2020,26378,52,71,9,14,6,45,42,38
CMR,Cameroon,2020,26546,58,66,13,15,6,35,36,43
COD,Democractic Republic of Congo,2020,89561,46,46,13,33,8,19,35,24
COG,Congo,2020,5518,68,74,10,10,6,53,53,31
COK,Cook Islands,2020,18,75,100,0,0,0,87,89,11
COL,Colombia,2020,50883,81,97,0,0,1,96,89,9
COM,Comoros,2019,851,29,80,11,9,0,65,59,32
CPV,Cabo Verde,2020,556,67,89,8,3,0,88,90,7
CRI,Costa Rica,2020,5094,81,100,0,0,0,100,100,0
CUB,Cuba,2020,11327,77,97,1,1,0,93,80,19
CYM,Cayman Islands,2016,63,100,96,0,4,0,91,86,10
CYP,Cyprus,2020,1207,67,100,0,0,0,100,100,0
CZE,Czech Republic,2020,10709,74,100,0,0,0,98,100,0
DEU,Germany,2020,83784,77,100,0,0,0,100,100,0
DJI,Djibouti,2020,988,78,76,15,7,2,46,83,8
