,Country,% urban,TOTALUnimproved,RURALUnimproved,URBANUnimproved,TOTALPiped,TOTALNon-piped,RURALPiped,RURALNon-piped,URBANPiped,URBANNon-piped,alpha3
0,Afghanistan,27.0,10.0,14.0,0.0,23.0,60.0,17.0,61.0,42.0,58.0,AFG
1,Albania,64.0,3.0,4.0,3.0,81.0,16.0,76.0,21.0,84.0,14.0,ALB
2,Algeria,75.0,0.0,0.0,0.0,71.0,28.0,60.0,40.0,75.0,24.0,DZA
3,Andorra,88.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,AND
4,Angola,68.0,19.0,23.0,18.0,43.0,24.0,8.0,28.0,59.0,22.0,AGO
5,Anguilla,100.0,3.0,,3.0,100.0,0.0,,,100.0,0.0,AIA
6,Antigua and Barbuda,24.0,1.0,1.0,1.0,98.0,0.0,98.0,0.0,98.0,0.0,ATG
7,Argentina,92.0,0.0,3.0,0.0,96.0,2.0,82.0,11.0,100.0,0.0,ARG
8,Armenia,64.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,ARM
9,Australia,86.0,0.0,0.0,0.0,97.0,3.0,87.0,13.0,100.0,0.0,AUS
10,Austria,59.0,0.0,0.0,0.0,,,,,,,AUT
11,Azerbaijan,57.0,1.0,3.0,0.0,94.0,5.0,86.0,11.0,100.0,0.0,AZE
12,Bahrain,90.0,0.0,,,100.0,0.0,,,,,BHR
13,Bangladesh,40.0,0.0,0.0,0.0,15.0,84.0,3.0,96.0,33.0,67.0,BGD
14,Barbados,31.0,1.0,,,99.0,0.0,,,,,BRB
15,Belarus,80.0,0.0,2.0,0.0,97.0,2.0,89.0,9.0,100.0,0.0,BLR
16,Belgium,98.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,BEL
17,Belize,46.0,0.0,0.0,0.0,87.0,12.0,79.0,20.0,96.0,4.0,BLZ
18,Benin,50.0,22.0,24.0,20.0,39.0,37.0,30.0,42.0,48.0,32.0,BEN
19,Bermuda,100.0,0.0,,0.0,100.0,0.0,,,100.0,0.0,BMU
20,Bhutan,44.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,BTN
21,Bolivia (Plurinational State of),71.0,1.0,4.0,0.0,67.0,27.0,21.0,60.0,86.0,14.0,unk_Bolivia (Plurinational State of)
22,"Bonaire, Sint Eustatius and Saba",75.0,0.0,,,100.0,0.0,,,,,BES
23,Bosnia and Herzegovina,50.0,0.0,0.0,0.0,95.0,5.0,93.0,7.0,98.0,2.0,BIH
24,Botswana,72.0,2.0,3.0,2.0,91.0,6.0,77.0,18.0,97.0,1.0,BWA
25,Brazil,88.0,0.0,2.0,0.0,99.0,0.0,90.0,8.0,100.0,0.0,BRA
26,British Virgin Islands,49.0,0.0,,,96.0,4.0,,,,,VGB
27,Brunei Darussalam,79.0,0.0,,,100.0,0.0,,,,,BRN
28,Bulgaria,76.0,0.0,3.0,0.0,100.0,0.0,97.0,0.0,100.0,0.0,BGR
29,Burkina Faso,32.0,21.0,28.0,5.0,32.0,47.0,10.0,61.0,78.0,17.0,BFA
30,Burundi,14.0,15.0,17.0,1.0,39.0,43.0,30.0,49.0,91.0,8.0,BDI
31,Cabo Verde,68.0,3.0,8.0,0.0,90.0,7.0,77.0,15.0,96.0,4.0,CPV
