alpha3,Mean BMI (male),Mean BMI (female),Mean male height (cm),Mean female height (cm),women weight,men weight
AFG,22.68245614,24.23413457,165.2558607,155.0753231,58.27910914821992,61.944652451651756
AGO,22.43653817,24.37650146,167.3107273,157.3052103,60.3194802467354,62.8063308709123
ALB,27.17447081,26.50751203,173.3888563,161.7698561,69.36879740457802,81.69650155071582
AND,27.47839497,26.27166071,176.0601667,162.9048767,69.7197301778985,85.17528181534011
ARE,28.18800439,29.63816231,170.4554301,158.6805869,74.6274957282618,81.90039798541214
ARG,28.01768234,27.79858856,174.6157252,159.1792058,70.43611806491748,85.42773877058306
ARM,25.74388941,27.19451321,171.9966462,158.0892096,67.96506638779968,76.15775236844382
ASM,33.0667207,35.14886463,176.0451207,164.5213673,95.13841711058598,102.47999894648052
ATG,25.82569643,27.96185992,172.7069903,160.6526419,72.167523011058,77.03212415816009
AUS,27.71849093,26.87308177,179.2046477,165.8581773,73.9249859050011,89.01600928564436
AUT,26.67288696,24.74923974,177.4077047,164.6209454,67.07057746053277,83.94889393475549
AZE,26.24688161,28.15375814,169.7494329,158.2524089,70.50777897728712,75.63004807067642
BDI,21.85867709,21.60407468,166.6352493,154.0233342,51.25175139241867,60.69565822735215
BEL,26.8013405,25.74971353,181.698803,165.4911355,70.52155395293994,88.48316501887024
BEN,22.66670723,24.57959394,167.0572709,156.1559783,59.93657677090008,63.2585451952787
BFA,22.25253512,22.1477769,169.3288328,160.1857488,56.830030815044694,63.803033059097096
BGD,21.40108169,22.05260608,163.8082283,150.7888441,50.141618004450905,57.4258128232508
BGR,27.32226907,25.93015482,178.2402511,164.7953594,70.41984512663424,86.80172073220882
BHR,24.895558,24.79195613,167.7434113,156.6916935,60.869921753175134,70.05075273218306
BHS,27.28640266,29.0596084,172.7466298,160.680362,75.02661635662356,81.42644046920104
BIH,26.53071356,25.34013918,180.8691741,165.8483102,69.69973032216286,86.79166936019176
BLR,26.629948,26.91237453,178.4384054,166.3465611,74.46971165126334,84.7904588518976
BLZ,27.63242364,30.75287977,168.7317804,156.8758678,75.68295366124322,78.67065330329349
