,Country,alpha3,% urban,TOTALUnimproved,RURALUnimproved,URBANUnimproved,TOTALPiped,TOTALNon-piped,RURALPiped,RURALNon-piped,URBANPiped,URBANNon-piped
0,Afghanistan,AFG,27.0,10.0,14.0,0.0,23.0,60.0,17.0,61.0,42.0,58.0
1,Albania,ALB,64.0,3.0,4.0,3.0,81.0,16.0,76.0,21.0,84.0,14.0
2,Algeria,DZA,75.0,0.0,0.0,0.0,71.0,28.0,60.0,40.0,75.0,24.0
3,Andorra,AND,88.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
4,Angola,AGO,68.0,19.0,23.0,18.0,43.0,24.0,8.0,28.0,59.0,22.0
5,Anguilla,AIA,100.0,3.0,,3.0,100.0,0.0,,,100.0,0.0
6,Antigua and Barbuda,ATG,24.0,1.0,1.0,1.0,98.0,0.0,98.0,0.0,98.0,0.0
7,Argentina,ARG,92.0,0.0,3.0,0.0,96.0,2.0,82.0,11.0,100.0,0.0
8,Armenia,ARM,64.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
9,Australia,AUS,86.0,0.0,0.0,0.0,97.0,3.0,87.0,13.0,100.0,0.0
10,Austria,AUT,59.0,0.0,0.0,0.0,,,,,,
11,Azerbaijan,AZE,57.0,1.0,3.0,0.0,94.0,5.0,86.0,11.0,100.0,0.0
12,Bahrain,BHR,90.0,0.0,,,100.0,0.0,,,,
13,Bangladesh,BGD,40.0,0.0,0.0,0.0,15.0,84.0,3.0,96.0,33.0,67.0
14,Barbados,BRB,31.0,1.0,,,99.0,0.0,,,,
15,Belarus,BLR,80.0,0.0,2.0,0.0,97.0,2.0,89.0,9.0,100.0,0.0
16,Belgium,BEL,98.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
17,Belize,BLZ,46.0,0.0,0.0,0.0,87.0,12.0,79.0,20.0,96.0,4.0
18,Benin,BEN,50.0,22.0,24.0,20.0,39.0,37.0,30.0,42.0,48.0,32.0
19,Bermuda,BMU,100.0,0.0,,0.0,100.0,0.0,,,100.0,0.0
20,Bhutan,BTN,44.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
21,Bolivia (Plurinational State of),BOL,71.0,1.0,4.0,0.0,67.0,27.0,21.0,60.0,86.0,14.0
22,"Bonaire, Sint Eustatius and Saba",BES,75.0,0.0,,,100.0,0.0,,,,
23,Bosnia and Herzegovina,BIH,50.0,0.0,0.0,0.0,95.0,5.0,93.0,7.0,98.0,2.0
24,Botswana,BWA,72.0,2.0,3.0,2.0,91.0,6.0,77.0,18.0,97.0,1.0
25,Brazil,BRA,88.0,0.0,2.0,0.0,99.0,0.0,90.0,8.0,100.0,0.0
26,British Virgin Islands,VGB,49.0,0.0,,,96.0,4.0,,,,
27,Brunei Darussalam,BRN,79.0,0.0,,,100.0,0.0,,,,
28,Bulgaria,BGR,76.0,0.0,3.0,0.0,100.0,0.0,97.0,0.0,100.0,0.0
29,Burkina Faso,BFA,32.0,21.0,28.0,5.0,32.0,47.0,10.0,61.0,78.0,17.0
30,Burundi,BDI,14.0,15.0,17.0,1.0,39.0,43.0,30.0,49.0,91.0,8.0
31,Cabo Verde,CPV,68.0,3.0,8.0,0.0,90.0,7.0,77.0,15.0,96.0,4.0
32,Cambodia,KHM,25.0,3.0,4.0,0.0,34.0,55.0,20.0,66.0,77.0,23.0
33,Cameroon,CMR,59.0,12.0,23.0,4.0,42.0,42.0,17.0,51.0,59.0,35.0
34,Canada,CAN,82.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
35,Cayman Islands,CYM,100.0,4.0,,4.0,91.0,4.0,,,91.0,4.0
