Country,% urban,TOTALUnimproved,RURALUnimproved,URBANUnimproved,TOTALPiped,TOTALNon-piped,RURALPiped,RURALNon-piped,URBANPiped,URBANNon-piped
Afghanistan,27,10,14,0,23,60,17,61,42,58
Albania,64,3,4,3,81,16,76,21,84,14
Algeria,75,0,0,0,71,28,60,40,75,24
Andorra,88,0,0,0,100,0,100,0,100,0
Angola,68,19,23,18,43,24,8,28,59,22
Anguilla,100,3,,3,100,0,,,100,0
Antigua and Barbuda,24,1,1,1,98,0,98,0,98,0
Argentina,92,0,3,0,96,2,82,11,100,0
Armenia,64,0,0,0,100,0,100,0,100,0
Australia,86,0,0,0,97,3,87,13,100,0
Austria,59,0,0,0,,,,,,
Azerbaijan,57,1,3,0,94,5,86,11,100,0
Bahrain,90,0,,,100,0,,,,
Bangladesh,40,0,0,0,15,84,3,96,33,67
Barbados,31,1,,,99,0,,,,
Belarus,80,0,2,0,97,2,89,9,100,0
Belgium,98,0,0,0,100,0,100,0,100,0
Belize,46,0,0,0,87,12,79,20,96,4
Benin,50,22,24,20,39,37,30,42,48,32
Bermuda,100,0,,0,100,0,,,100,0
Bhutan,44,0,0,0,100,0,100,0,100,0
Bolivia (Plurinational State of),71,1,4,0,67,27,21,60,86,14
"Bonaire, Sint Eustatius and Saba",75,0,,,100,0,,,,
Bosnia and Herzegovina,50,0,0,0,95,5,93,7,98,2
Botswana,72,2,3,2,91,6,77,18,97,1
Brazil,88,0,2,0,99,0,90,8,100,0
British Virgin Islands,49,0,,,96,4,,,,
Brunei Darussalam,79,0,,,100,0,,,,
Bulgaria,76,0,3,0,100,0,97,0,100,0
Burkina Faso,32,21,28,5,32,47,10,61,78,17
Burundi,14,15,17,1,39,43,30,49,91,8
Cabo Verde,68,3,8,0,90,7,77,15,96,4
Cambodia,25,3,4,0,34,55,20,66,77,23
Cameroon,59,12,23,4,42,42,17,51,59,35
Canada,82,0,0,0,100,0,100,0,100,0
Cayman Islands,100,4,,4,91,4,,,91,4
Central African Republic,43,34,47,16,14,49,0,47,31,52
Chad,24,28,35,8,17,48,7,49,47,45
Chile,88,0,0,0,100,0,100,0,100,0
China,64,2,3,1,86,12,72,25,94,5
"China, Hong Kong SAR",100,0,,0,100,0,,,100,0
"China, Macao SAR",100,0,,0,100,0,,,100,0
Colombia,82,0,3,0,89,9,60,27,95,5
Cook Islands,76,0,,,89,11,,,,
Costa Rica,82,0,0,0,100,0,100,0,100,0
Côte d'Ivoire,53,13,21,6,49,32,29,42,66,24
Croatia,58,,,0,,,,,,
Cuba,77,2,2,2,80,18,57,40,87,11
Cyprus,67,0,0,0,100,0,100,0,100,0
Czechia,74,0,0,0,100,0,100,0,100,0
Democratic People's Republic of Korea,63,5,11,2,65,30,50,39,74,24
Democratic Republic of the Congo,47,33,54,9,36,23,8,24,67,22
Denmark,88,0,0,0,100,0,100,0,100,0
Djibouti,78,7,31,0,83,8,26,33,100,0
Dominican Republic,84,1,0,1,80,17,66,27,83,15
Ecuador,65,3,7,0,91,4,75,12,100,0
Egypt,43,0,1,0,99,0,99,0,99,0
El Salvador,75,0,0,0,93,6,84,12,96,4
Estonia,70,0,0,0,100,0,100,0,100,0
Eswatini,25,7,10,0,62,22,51,27,95,4
Ethiopia,23,16,20,1,44,35,32,42,85,12
Falkland Islands (Malvinas),79,5,22,0,90,5,56,22,100,0
Faroe Islands,43,0,,,100,0,,,,
Fiji,58,2,4,0,89,7,77,16,98,0
Finland,86,0,0,0,100,0,100,0,100,0
France,82,0,0,0,100,0,100,0,100,0
French Guiana,86,6,,,89,6,,,,
French Polynesia,62,0,,,100,0,,,,
Gabon,91,3,17,2,88,6,30,38,94,3
Gambia,64,8,11,7,79,12,71,18,84,9
Georgia,60,2,5,0,85,13,66,29,97,2
Germany,78,0,0,0,100,0,100,0,100,0
Ghana,59,2,4,0,57,38,34,52,73,27
Gibraltar,100,0,,0,100,0,,,100,0
Greece,80,0,0,0,100,0,100,0,100,0
Greenland,88,0,,,100,0,,,,
Guadeloupe,99,0,,,100,0,,,,
Guam,95,0,,,100,0,,,,
Guatemala,53,3,4,2,78,18,65,27,89,9
Guinea,38,8,13,2,23,61,8,67,47,51
Guinea-Bissau,45,22,34,8,48,29,32,32,67,25
Guyana,27,0,1,0,70,28,65,33,84,16
Haiti,59,23,44,8,19,58,24,32,15,77
Honduras,60,3,8,0,92,5,86,6,96,4
Hungary,73,0,0,0,100,0,100,0,100,0
Iceland,94,0,0,0,100,0,100,0,100,0
India,36,2,2,1,45,53,33,64,66,33
Indonesia,58,4,9,0,23,72,14,76,30,69
Iran (Islamic Republic of),77,0,1,0,100,0,97,2,100,0
Iraq,71,0,0,0,84,16,72,25,88,12
Ireland,64,4,3,5,96,0,97,0,95,0
Isle of Man,53,0,,,100,0,,,,
Israel,93,0,0,0,100,0,100,0,100,0
Italy,72,0,,,98,1,,,,
Jamaica,57,2,3,1,84,13,73,21,92,7
Japan,92,0,,,98,0,,,,
Jordan,92,0,2,0,86,13,80,18,87,13
Kazakhstan,58,3,7,0,81,16,59,33,98,2
Kenya,29,9,12,4,33,38,22,42,60,30
Kiribati,57,20,38,6,41,39,15,47,61,33
Kuwait,100,0,,0,,,,,,
Kyrgyzstan,37,2,3,0,94,0,90,0,100,0
Lao People's Democratic Republic,38,10,15,3,32,57,14,70,62,35
Latvia,69,0,1,0,95,4,88,11,98,1
Lebanon,89,0,,,90,10,,,,
Lesotho,30,10,13,4,72,12,64,15,91,5
Liberia,53,5,6,4,5,80,0,74,10,86
Libya,81,0,,,78,22,,,,
Liechtenstein,15,0,,,100,0,,,,
Lithuania,68,2,6,0,96,2,87,7,100,0
Luxembourg,92,0,1,0,100,0,97,1,100,0
Madagascar,40,31,43,12,36,22,16,22,66,21
Malawi,18,5,6,4,21,72,8,84,77,19
Malaysia,78,2,9,0,96,2,83,8,100,0
Maldives,42,0,0,0,52,47,19,81,100,0
Mali,45,11,20,0,53,36,27,51,83,17
Malta,95,0,0,0,100,0,100,0,100,0
Marshall Islands,79,4,8,3,28,69,7,85,33,64
Martinique,89,0,,,100,0,,,,
Mauritania,57,13,30,0,61,25,43,27,75,24
Mauritius,41,0,0,0,100,0,100,0,100,0
Mayotte,45,4,,,93,4,,,,
Mexico,81,0,2,0,98,2,92,6,100,0
Monaco,100,0,,0,100,0,,,100,0
