alpha3,RURALPiped,URBANPiped,PBO,Weight,% urban
ABW,84.36,93.32,41.684285714285714,70.30463975225724,43.0
AFG,17.0,42.0,31.82,54.71751506782176,27.0
AGO,8.0,59.0,8.7,56.053692617382104,68.0
AIA,100.0,100.0,41.684285714285714,70.30463975225723,100.0
ALB,76.0,84.0,21.4,70.40858686058655,64.0
ARE,100.0,100.0,66.35,74.19713530167036,88.0
ARG,82.0,100.0,72.49,72.59530845385467,92.0
ARM,100.0,100.0,4.0,69.51292371812914,64.0
ASM,100.0,100.0,38.068,99.087177996778,87.0
ATG,98.0,98.0,41.684285714285714,68.97599766675651,24.0
AUS,87.0,100.0,57.99,77.4780272039879,86.0
AUT,100.0,99.5,84.85,72.98575603624656,
AZE,86.0,100.0,6.9,68.26163546612855,57.0
BDI,30.0,91.0,20.5,52.329397518836636,14.0
BEL,100.0,100.0,72.77,76.99029706233947,98.0
BEN,30.0,48.0,39.5,56.55047615583321,50.0
BES,100.0,100.0,41.684285714285714,70.30463975225724,75.0
BFA,10.0,78.0,84.2,55.932930801238754,32.0
BGD,3.0,33.0,25.4,49.14223918286831,40.0
BGR,97.0,100.0,22.62,74.52643692797213,76.0
BHR,100.0,100.0,33.675128684807255,67.72883540494927,90.0
BHS,84.36,93.32,41.68428571428572,73.52771261772648,83.0
BIH,93.0,98.0,45.58,74.51281723914066,50.0
BLR,89.0,100.0,38.49,75.85943662132902,80.0
BLZ,79.0,96.0,70.92,71.46480967019768,46.0
BMU,100.0,100.0,41.684285714285714,75.48055385416271,100.0
BOL,21.0,86.0,36.6,62.488614154774176,71.0
BRA,90.0,100.0,57.62,68.75531819976351,88.0
BRB,84.36000000000001,93.32,41.68428571428572,76.23847345720954,31.0
BRN,100.0,100.0,44.49,63.595195777032174,79.0
BTN,100.0,100.0,6.18,55.29632740582912,44.0
BWA,77.0,97.0,20.42,64.44659635892145,72.0
CAF,0.0,31.0,18.89,55.85431824844777,43.0
CAN,100.0,100.0,67.28,76.51918209797762,82.0
CHE,100.0,100.0,73.43,72.82938315633766,74.0
CHL,100.0,100.0,53.1,72.62648483772773,88.0
CHN,72.0,94.0,62.97,61.27242391145482,64.0
CIV,29.0,66.0,43.14,58.87013010358929,53.0
CMR,17.0,59.0,14.7,60.38813600926144,59.0
COD,8.0,67.0,21.26,52.867179827952626,47.0
COG,11.0,76.0,5.9,57.52473549793503,68.0
COK,67.5,83.3,38.068,89.69149474091375,76.0
COL,60.0,95.0,33.3,65.3147608355302,82.0
COM,53.0,76.0,6.71,57.95894969588751,29.0
CPV,77.0,96.0,22.850801886792446,64.04027118066853,68.0
CRI,100.0,100.0,65.06,67.20701721773423,82.0
CUB,57.0,87.0,56.89,66.32601809612846,77.0
CYM,91.0,91.0,41.68428571428572,70.30463975225723,100.0
CYP,100.0,100.0,54.869967532467534,74.55222810587506,67.0
CZE,100.0,100.0,42.76,81.05301441083319,74.0
DEU,100.0,100.0,76.6,76.85720047641125,78.0
DJI,26.0,100.0,8.98,61.03198764527151,78.0
DMA,84.36,93.32000000000001,41.68428571428572,73.14573678425663,70.0
DNK,100.0,100.0,88.59,75.57876328056031,88.0
DOM,66.0,83.0,1.5,67.64315572834347,84.0
DZA,60.0,75.0,26.6725,65.05686920673412,75.0
ECU,75.0,100.0,61.27,64.43022943171995,65.0
EGY,99.0,99.0,9.8,71.50437078279394,43.0
ERI,41.0,69.0,10.5,52.709952991572095,39.0
ESP,100.0,100.0,64.02,75.50513041537577,81.0
EST,100.0,100.0,30.31,77.6957051168438,70.0
ETH,32.0,85.0,2.3,50.83882657189491,23.0
FIN,100.0,100.0,85.0,76.8948510847226,86.0
FJI,77.0,98.0,38.068,73.0075712012673,58.0
FLK,56.0,100.0,47.23923076923077,68.07237066527414,79.0
FRA,100.0,100.0,60.03,74.04928800791224,82.0
FRO,100.0,100.0,54.86996753246753,75.34402030757401,43.0
FSM,67.5,83.3,38.068,75.57821270358903,23.0
GAB,30.0,94.0,3.4,62.26841168510923,91.0
GBR,100.0,100.0,53.55,75.98860703436912,84.0
GEO,66.0,97.0,8.16,72.90709926835162,60.0
GHA,34.0,73.0,33.86,59.22073210189898,59.0
GIB,100.0,100.0,64.02,75.50513041537577,100.0
GIN,8.0,47.0,25.0,56.68330804653857,38.0
GLP,100.0,100.0,41.684285714285714,70.30463975225724,99.0
GMB,71.0,84.0,44.24,56.98817746213484,64.0
GNB,32.0,67.0,35.73,57.587141647209364,45.0
GNQ,22.0,48.0,9.049999999999999,58.67875312418066,72.0
GRC,100.0,100.0,30.12,78.04985943713771,80.0
GRD,84.36,93.32,41.68428571428572,72.40641358592322,36.0
GRL,100.0,100.0,41.684285714285714,72.14919217786216,88.0
GTM,65.0,89.0,26.7,60.03809122491171,53.0
GUF,77.0,94.5,48.019999999999996,69.373637556106,86.0
GUM,100.0,100.0,38.068000000000005,78.11649863329274,95.0
GUY,65.0,84.0,52.1,65.44391929731393,27.0
HKG,100.0,100.0,33.675128684807255,64.85486378086976,100.0
HND,86.0,96.0,33.3,62.36751491656642,60.0
HRV,89.75,98.0,43.71,76.44196172591984,
HTI,24.0,15.0,17.5,63.280987539942544,59.0
HUN,100.0,100.0,34.12,75.40297741589677,73.0
IDN,14.0,30.0,47.2,53.21551733797398,58.0
IMN,100.0,100.0,54.86996753246753,75.34402030757403,53.0
IND,33.0,66.0,44.82,51.55353385724445,36.0
IRL,97.0,95.0,50.04,77.1512320511253,64.0
IRN,97.0,100.0,22.358571428571427,68.86533527579282,77.0
IRQ,72.0,88.0,23.28,72.49311986620525,71.0
ISL,100.0,100.0,54.869967532467534,76.22246977542699,94.0
ISR,100.0,100.0,35.25,74.49444469346133,93.0
ITA,100.0,100.0,65.63,74.38382022084592,72.0
JAM,73.0,92.0,41.68428571428572,71.12579183572018,57.0
JOR,80.0,87.0,8.9,75.3385848112504,92.0
JPN,75.0,100.0,70.88,61.08940126579401,92.0
KAZ,59.0,98.0,24.78,69.79036081133138,58.0
KEN,22.0,60.0,29.45,58.06694286158309,29.0
KGZ,90.0,100.0,23.19,66.88285838558808,37.0
KHM,20.0,77.0,65.5,50.99407686694244,25.0
KIR,15.0,61.0,38.068,75.37229258788213,57.0
KNA,84.36,93.32,41.68428571428572,73.0415241626205,31.0
KOR,100.0,100.0,42.61,65.28748197709061,81.0
LAO,14.0,62.0,47.21,50.357030873499724,38.0
LBN,85.5,93.0,10.1,74.31862852216344,89.0
LBR,0.0,10.0,3.0,58.20915242666095,53.0
LBY,58.6,80.4,17.27,75.59090214204272,81.0
LCA,96.0,98.0,41.684285714285714,73.21174096751682,19.0
LIE,100.0,100.0,73.43,72.82938315633766,15.0
LKA,46.0,81.0,44.69,54.48365866630871,19.0
LSO,64.0,91.0,2.1,60.53760971815217,30.0
LTU,87.0,100.0,38.94,77.9673598924546,68.0
LUX,97.0,100.0,64.04,74.74992041965177,92.0
LVA,88.0,98.0,17.98,78.54120880353923,69.0
MAC,100.0,100.0,33.675128684807255,63.42269679827223,100.0
MAR,53.0,94.0,25.4,65.5579808016241,65.0
MCO,100.0,100.0,60.03,74.04928800791224,100.0
MDA,63.0,94.0,27.2,73.73033029159382,43.0
MDG,16.0,66.0,22.6,50.06487991702686,40.0
MDV,19.0,100.0,39.9,59.6186654949941,42.0
MEX,92.0,100.0,32.88,70.07501882038977,81.0
MHL,7.0,33.0,38.068,71.7763361730861,79.0
MKD,82.0,99.0,57.66,73.42835222918268,59.0
MLI,27.0,83.0,46.2,58.0539350252169,45.0
MLT,100.0,100.0,41.47,75.26361992617788,95.0
MMR,18.0,67.0,52.84,53.635966847992094,32.0
MNE,75.0,96.0,29.36,73.92054558541707,68.0
MNG,8.0,50.0,15.77,64.62213275231456,69.0
MNP,67.5,83.3,38.068000000000005,78.11649863329274,92.0
MOZ,20.0,77.0,40.05,53.841864334587605,38.0
MRT,43.0,75.0,4.92,59.94375411369336,57.0
MSR,84.36000000000001,93.32000000000001,41.684285714285714,70.30463975225723,9.0
MTQ,100.0,100.0,41.684285714285714,70.30463975225724,89.0
MUS,100.0,100.0,75.34,65.28184739867847,41.0
MWI,8.0,77.0,43.8,53.6287462081293,18.0
MYS,83.0,100.0,44.49,61.56078893327569,78.0
MYT,36.644675324675326,72.16571428571429,22.85080188679245,59.11875992982979,45.0
NAM,68.0,97.0,15.2,59.88720532231544,54.0
NCL,100.0,100.0,38.068,78.11649863329272,72.0
NER,24.857142857142858,62.714285714285715,10.2,54.37033920207551,
NGA,31.0,93.0,21.57,57.24111599721164,17.0
NGA,31.0,93.0,21.57,57.24111599721164,54.0
NGA,31.0,93.0,21.57,57.24111599721164,17.0
NGA,31.0,93.0,21.57,57.24111599721164,54.0
NGA,9.0,15.0,21.57,57.24111599721164,17.0
NGA,9.0,15.0,21.57,57.24111599721164,54.0
NGA,9.0,15.0,21.57,57.24111599721164,17.0
NGA,9.0,15.0,21.57,57.24111599721164,54.0
NIC,33.0,95.0,31.99,65.66741809402635,59.0
NIU,67.5,83.3,38.06799999999999,89.80027005959724,48.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,100.0,100.0,89.48,76.64510744171008,89.0
NLD,100.0,100.0,89.48,76.64510744171008,93.0
NLD,100.0,100.0,89.48,76.64510744171008,100.0
NLD,91.0,91.0,89.48,76.64510744171008,89.0
NLD,91.0,91.0,89.48,76.64510744171008,93.0
NLD,91.0,91.0,89.48,76.64510744171008,100.0
NLD,91.0,91.0,89.48,76.64510744171008,89.0
NLD,91.0,91.0,89.48,76.64510744171008,93.0
NLD,91.0,91.0,89.48,76.64510744171008,100.0
NLD,91.0,91.0,89.48,76.64510744171008,89.0
NLD,91.0,91.0,89.48,76.64510744171008,93.0
NLD,91.0,91.0,89.48,76.64510744171008,100.0
NOR,100.0,100.0,80.51,75.94958629772222,84.0
NPL,50.0,52.0,39.7,49.752709561438444,21.0
NRU,2.0,2.0,38.068,87.63944799253134,100.0
NZL,100.0,100.0,62.49,77.30272737681317,87.0
OMN,84.0,97.0,37.834999999999994,67.68214747045545,88.0
PAK,17.0,39.0,45.96,56.956846986633835,38.0
PAN,81.0,99.0,42.6,66.11856704979478,69.0
