alpha3,RURALPiped_spatial,URBANPiped_spatial,PBO_spatial,RURALPiped_gdp,URBANPiped_gdp,PBO_gdp
ABW,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
AFG,,,,,,
AGO,,,,,,
AIA,,,continent interpolated,,,
ALB,,,,,,
ARE,,,,,,
ARG,,,,,,
ARM,,,,,,
ASM,,,continent interpolated,,,gdp regression
ATG,,,continent interpolated,,,gdp regression
AUS,,,,,,
AUT,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
AZE,,,,,,
BDI,,,,,,
BEL,,,,,,
BEN,,,,,,
BES,,,continent interpolated,,,
BFA,,,,,,
BGD,,,,,,
BGR,,,,,,
BHR,,,continent interpolated,,,gdp regression
BHS,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
BIH,,,,,,
BLR,,,,,,
BLZ,,,,,,
BMU,,,continent interpolated,,,gdp regression
BOL,,,,,,
BRA,,,,,,
BRB,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
BRN,,,neighbor interpolated,,,gdp regression
BTN,,,,,,
BWA,,,,,,
CAF,,,,,,
CAN,,,,,,
CHE,,,,,,
CHL,,,,,,
CHN,,,,,,
CIV,,,,,,
CMR,,,,,,
COD,,,,,,
COG,,,,,,
COK,continent interpolated,continent interpolated,continent interpolated,,,
COL,,,,,,
COM,,,,,,
CPV,,,continent interpolated,,,gdp regression
CRI,,,,,,
CUB,,,neighbor interpolated,,,gdp regression
CYM,continent interpolated,,continent interpolated,gdp regression,,gdp regression
CYP,,,continent interpolated,,,gdp regression
CZE,,,,,,
DEU,,,,,,
DJI,,,,,,
DMA,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
DNK,,,,,,
DOM,,,,,,
DZA,,,neighbor interpolated,,,gdp regression
ECU,,,,,,
EGY,,,,,,
ERI,,,,,,
ESP,,,,,,
EST,,,,,,
ETH,,,,,,
FIN,,,,,,
FJI,,,continent interpolated,,,gdp regression
FLK,,,continent interpolated,,,
FRA,,,,,,
FRO,,,continent interpolated,,,gdp regression
FSM,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
GAB,,,,,,
GBR,,,,,,
GEO,,,,,,
GHA,,,,,,
GIB,,,neighbor interpolated,,,
GIN,,,,,,
GLP,,,continent interpolated,,,
GMB,,,,,,
GNB,,,,,,
GNQ,,,neighbor interpolated,,,gdp regression
GRC,,,,,,
GRD,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
GRL,,,continent interpolated,,,gdp regression
GTM,,,,,,
GUF,neighbor interpolated,neighbor interpolated,neighbor interpolated,,,
GUM,,,continent interpolated,,,gdp regression
GUY,,,,,,
HKG,,,continent interpolated,,,gdp regression
HND,,,,,,
HRV,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
HTI,,,,,,
HUN,,,,,,
IDN,,,,,,
IMN,,,continent interpolated,,,gdp regression
IND,,,,,,
IRL,,,,,,
IRN,,,neighbor interpolated,,,gdp regression
IRQ,,,,,,
ISL,,,continent interpolated,,,gdp regression
ISR,,,,,,
ITA,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
JAM,,,continent interpolated,,,gdp regression
JOR,,,,,,
JPN,continent interpolated,continent interpolated,,gdp regression,gdp regression,
KAZ,,,,,,
KEN,,,,,,
KGZ,,,,,,
KHM,,,,,,
KIR,,,continent interpolated,,,gdp regression
KNA,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
KOR,,,,,,
KWT,neighbor interpolated,neighbor interpolated,neighbor interpolated,gdp regression,gdp regression,gdp regression
LAO,,,,,,
LBN,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
LBR,,,,,,
LBY,neighbor interpolated,neighbor interpolated,neighbor interpolated,gdp regression,gdp regression,gdp regression
LCA,,,continent interpolated,,,gdp regression
LIE,,,neighbor interpolated,,,gdp regression
LKA,,,,,,
LSO,,,,,,
LTU,,,,,,
LUX,,,,,,
LVA,,,,,,
MAC,,,continent interpolated,,,gdp regression
MAR,,,,,,
MCO,,,neighbor interpolated,,,gdp regression
MDA,,,,,,
MDG,,,,,,
MDV,,,,,,
MEX,,,,,,
MHL,,,continent interpolated,,,gdp regression
MKD,,,,,,
MLI,,,,,,
MLT,,,,,,
MMR,,,,,,
MNE,,,,,,
MNG,,,,,,
MNP,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
MOZ,,,,,,
MRT,,,,,,
MSR,continent interpolated,continent interpolated,continent interpolated,,,
MTQ,,,continent interpolated,,,
MUS,,,,,,
MWI,,,,,,
MYS,,,,,,
MYT,continent interpolated,continent interpolated,continent interpolated,,,
NAM,,,,,,
NCL,,,continent interpolated,,,gdp regression
NER,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
NGA,,,,,,
NGA,,,,,,
NGA,,,,,,
NGA,,,,,,
NIC,,,,,,
NIU,continent interpolated,continent interpolated,continent interpolated,,,
NLD,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
NLD,neighbor interpolated,neighbor interpolated,,,,
NLD,neighbor interpolated,neighbor interpolated,,gdp regression,,
NLD,,,,gdp regression,gdp regression,
NLD,,,,,,
NLD,,,,gdp regression,,
NLD,neighbor interpolated,,,gdp regression,gdp regression,
NLD,neighbor interpolated,,,,,
NLD,neighbor interpolated,,,gdp regression,,
NOR,,,,,,
NPL,,,,,,
NRU,continent interpolated,,continent interpolated,gdp regression,,gdp regression
NZL,,,,,,
OMN,,,neighbor interpolated,,,gdp regression
PAK,,,,,,
PAN,,,,,,
PER,,,,,,
PHL,,,,,,
PLW,,,continent interpolated,,,gdp regression
PNG,,,neighbor interpolated,,,gdp regression
POL,,,,,,
PRI,,,continent interpolated,,,gdp regression
PRK,,,neighbor interpolated,,,
PRT,,,,,,
PRY,,,,,,
PSE,,,neighbor interpolated,,,gdp regression
PYF,,,continent interpolated,,,gdp regression
QAT,,,continent interpolated,,,gdp regression
REU,,,continent interpolated,,,
ROU,,,,,,
RUS,,,,,,
RWA,,,,,,
SAU,,,neighbor interpolated,,,gdp regression
SDN,,,,,,
SEN,,,,,,
SGP,,,continent interpolated,,,gdp regression
SHN,continent interpolated,continent interpolated,continent interpolated,,,
SLB,,,continent interpolated,,,gdp regression
SLE,,,,,,
SLV,,,neighbor interpolated,,,gdp regression
SMR,,,neighbor interpolated,,,gdp regression
SOM,,,,,,
SPM,continent interpolated,continent interpolated,continent interpolated,,,
SRB,,,neighbor interpolated,,,gdp regression
SSD,,,,,,
STP,,,,,,
SUR,,,,,,
SVK,,,,,,
SVN,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
SWE,,,,,,
SWZ,,,,,,
SYC,continent interpolated,continent interpolated,continent interpolated,gdp regression,gdp regression,gdp regression
SYR,,,neighbor interpolated,,,gdp regression
TCD,,,,,,
TGO,,,,,,
THA,,,,,,
TJK,,,,,,
TKL,,continent interpolated,continent interpolated,,,
TKM,,,,,,
TLS,,,,,,
TON,,,continent interpolated,,,gdp regression
TTO,continent interpolated,continent interpolated,,gdp regression,gdp regression,
TUN,,,,,,
TUR,,,,,,
TUV,,,continent interpolated,,,gdp regression
TZA,,,,,,
UGA,,,,,,
UKR,,,,,,
URY,,,,,,
USA,,,,,,
UZB,,,,,,
VCT,,,continent interpolated,,,gdp regression
VEN,neighbor interpolated,neighbor interpolated,,gdp regression,gdp regression,
VNM,,,,,,
VUT,,,,,,
WLF,,,continent interpolated,,,
WSM,,,continent interpolated,,,gdp regression
YEM,,,,,,
ZAF,,,,,,
ZMB,,,,,,
ZWE,,,,,,
