ISOCODE,alpha3,country_pop_raw,country_pop_with_water,country_pop_without_water,population_piped_with_access,population_piped_with_cycling_access,population_piped_with_walking_access,Continent,mean_max_distance_cycling,max_max_distance_cycling,min_max_distance_cycling,median_max_distance_cycling,mean_max_distance_walking,max_max_distance_walking,min_max_distance_walking,median_max_distance_walking,weighted_med,percent_with_water,percent_without_water,percent_piped_with_cycling_access,percent_piped_with_walking_access,percent_piped_with_only_cycling_access
AFG,AFG,39835428.0,34575497.73151527,5259930.268484727,1512092.491515273,717160.6364096748,1165931.1456520946,AS,10.079865814514289,16.876500756281924,4.897236380273519,8.886991965631848,3.7509859527348737,3.8021636095739444,3.5746864675873042,3.790747274604868,9.055384765625,86.79584848822329,13.204151511776718,1.800308600700047,2.926869884897671,0.35672693135309513
AGO,AGO,33933610.99999999,32460118.2178032,1473492.7821967937,2159309.995919242,272575.6181655032,2066521.7719099002,AF,10.505593522878499,15.047714391989636,6.306270829564413,11.343313737027394,3.8098954512001493,3.819644184645978,3.7871134932446457,3.8103458589339643,6.0,95.65771888468694,4.342281115313056,0.8032614571007586,6.089896450778259,0.35672693135309513
ALB,ALB,2872934.0,2270731.2136644525,602202.7863355477,1581227.0536644524,400547.541504671,1502136.783918297,EU,10.140875526411081,17.737448292404373,8.38803170662352,9.433709936678477,3.905759838502397,3.9728007251663504,3.841920457408836,3.9112572590486137,1.41421398925781,79.03875319323217,20.961246806767843,13.942107319718133,52.285808999381715,0.35672693135309513
ARE,ARE,9991082.999999998,0.0,9991082.999999998,0.0,0.0,0.0,AS,7.9554721967524005,15.345488930193431,4.645379886763644,6.428240028766707,3.9938978973858092,4.003287500297409,3.962422784922279,4.000734163148125,209.89759375,0.0,100.0,0.0,0.0,0.35672693135309513
ARG,ARG,45605823.0,23072988.73896776,22425226.609367475,14883309.97626742,13174435.33133578,6211830.770380373,SA,13.235749541166175,16.65164523502186,8.751206463836386,14.67404790764907,3.970919591956898,3.9918656611684438,3.8359262368132097,3.9889912506805927,13.03841015625,50.5921990246021,49.17184941354413,28.887616678545147,13.620696572848544,0.35672693135309513
ARM,ARM,2968127.999999999,1269203.1543727454,1698924.8456272539,1269203.1543727454,117568.70403091295,1199619.2191060754,AS,9.70097547479651,16.719348134600626,4.360119438586455,9.235887766830018,3.9029502141888974,3.964722986449097,3.812347718066905,3.910509766683392,6.7082041015625,42.76106537092557,57.238934629074436,3.9610388780710597,40.41669426339011,0.35672693135309513
AUS,AUS,25788216.999999996,12094944.196143776,11934497.197518524,8971116.814967675,8971116.814967675,0.0,OC,9.508268114468985,14.74836489804447,4.811075849099443,9.236815855366013,4.019267732827611,4.028360935099227,4.004478157199198,4.02211591950601,5.0,46.90104863063537,46.27887688985449,34.78765831297168,0.0,0.35672693135309513
AUT,AUT,9043071.999999998,8552638.165139832,490433.83486016665,8552638.165139832,7673046.591999998,5805884.971220023,EU,9.42872785086212,12.570370611177008,7.3755067775960725,9.088600357396968,3.8925579225350573,3.9841391922001548,3.8131762777283966,3.8817560743168014,3.60555102539062,94.57668992505901,5.4233100749409795,84.85000000000001,64.20257376276584,0.35672693135309513
AZE,AZE,10223344.0,8384146.167471793,1839197.8325282072,7107579.732095116,583034.815626047,7008104.099322308,AS,10.803257157206573,16.264235944425554,4.392164545414578,10.25367315291887,3.9091134793174396,3.9523517257293097,3.7974295752319174,3.9317856718551343,1.41421398925781,82.00982151702802,17.990178482971984,5.7029756176261595,68.5500174827562,0.35672693135309513
BDI,BDI,12255428.999999998,11344714.91922692,910714.0807730788,5532713.626726829,1320902.6800374812,5297875.4046406895,AF,10.781112078669747,17.517377482625367,9.402987818265073,10.265553309219626,3.7347476550584005,3.7710129060738846,3.6983647695764152,3.7357633765192793,2.23606811523438,92.56889268606527,7.431107313934739,10.7781023417253,43.22880418662366,0.35672693135309513
BEL,BEL,11632334.0,10237436.082568897,1394897.9174311028,10237436.082568897,8355662.235751955,6910664.145490057,EU,13.308602419112992,16.400664651468738,9.792955378072424,13.263968464602549,4.016363990775246,4.025731940074216,3.989461016915424,4.019499322300758,3.60555102539062,88.00844338349377,11.991556616506221,71.83134730959372,59.40909318362125,0.35672693135309513
BEN,BEN,12451031.000000002,10747246.299854703,1703784.700145299,2267913.648436266,1271468.1479362734,1647017.356198335,AF,12.618990313006261,14.867586238003877,6.987324587312542,13.022039006155673,3.819387865461139,3.822880379021388,3.8162547255156225,3.819593650633581,7.21110302734375,86.31611550766118,13.68388449233882,10.211749918029064,13.22795964605931,0.35672693135309513
BFA,BFA,21497097.0,20174248.242493406,1322848.7575065943,826860.9424934055,784892.6628729778,265622.0229141004,AF,12.53065753957273,16.23477068619306,7.40404562750017,14.173713441066557,3.814898603080264,3.817458246866285,3.811529171597477,3.814984012059774,14.8660703125,93.84638420012436,6.1536157998756496,3.651156539289829,1.2356181065475975,0.35672693135309513
BGD,BGD,166303494.0,158563166.5160527,7740327.483947322,38806073.24016933,11822785.783925628,36170626.616948664,AS,16.171187721100722,17.234196029517946,13.16898810555464,16.600769238770404,3.7217878618084574,3.723094425750174,3.7131003994419896,3.722795865553029,3.16227807617188,95.34566153856797,4.6543384614320376,7.109162591572265,21.74976950090337,0.35672693135309513
BGR,BGR,6896655.0,5579522.111658878,1317132.8883411225,5380009.45977348,1514893.5991435233,4994980.435034837,EU,10.516538835448948,16.128543392109435,8.58993653268441,10.303415814791705,3.9699559107574487,4.006321516359783,3.8870648344620307,3.983354777418337,2.0,80.9018591137135,19.098140886286505,21.965628252298007,72.42613172668251,0.35672693135309513
BIH,BIH,3263458.9999999995,1590510.6191975088,1672948.3808024907,1362068.4891975087,825253.5621070282,986429.4874871013,EU,7.333814273535428,11.005035302264913,4.280783938790405,9.04240175711097,3.9499459216808552,3.989864377116077,3.905606790225309,3.9614918295527595,4.12310498046875,48.73695729584803,51.26304270415197,25.287695114509738,30.226501619511737,0.35672693135309513
BLR,BLR,9442867.0,4845948.649797021,4596918.350202978,3807233.2797970218,3082642.4254640387,1178004.9655876812,EU,13.201299214004184,15.314582566004413,5.865249200596162,13.987617535170225,4.013416847722182,4.016369811922518,4.007612443816169,4.013880117874817,5.0,51.318615943622014,48.68138405637798,32.645195844271015,12.475077384735814,0.35672693135309513
BOL,BOL,11832935.999999998,10559867.211499108,1273068.7885008906,1211847.7714991088,795603.9972497084,656535.9215290229,SA,9.783240105238567,14.80554200103763,4.737646854616266,8.953570804356051,3.844194156249582,3.893207010121124,3.6963531516399972,3.8745340899902163,5.8309521484375,89.24131096034922,10.758689039650775,6.723639824044586,5.548377186600375,0.35672693135309513
BRA,BRA,213993441.0,143520996.8215706,70472444.1784294,122121652.7215706,104899014.08497103,40638599.897592224,SA,8.133523891532436,13.028474156671649,4.513634799118925,6.825139626840628,3.9371975581883576,3.9554363499935192,3.8689257055298456,3.9452359442511566,4.47213623046875,67.06794196630102,32.932058033698986,49.0197333127472,18.99058200461024,0.35672693135309513
BRN,BRN,441531.99999999994,233151.00989953295,208380.990100467,233151.00989953295,188323.1495529113,80756.36884637302,AS,8.812995628612674,15.899247628595944,5.250407699832701,6.679732460011159,3.895553156439864,3.907002702949214,3.8705809142324576,3.899445571574556,4.0,52.805008447753046,47.194991552246954,42.65220857217853,18.290037606871763,0.35672693135309513
BTN,BTN,779900.0,676417.8485463902,103482.15145360983,676417.8485463902,45524.56965365045,672450.734270667,AS,6.040432179622411,9.213026356699258,4.893651323294836,4.950260112567603,3.6474086087745627,3.7825961653814058,3.6080258978187194,3.6370876188296393,3.16227807617188,86.73135639779333,13.26864360220667,5.837231651961847,86.22268678941748,0.35672693135309513
BWA,BWA,2397240.0000000005,470021.086250993,1926997.4515917883,64402.292458904274,64402.292458904274,0.0,AF,10.562417566690083,16.56127340167565,7.238391679239905,7.421802258939826,3.913186251925202,3.915044166066596,3.902496924052222,3.914589354221515,30.80583984375,19.6067597007806,80.38400208538935,2.6865183485551825,0.0,0.35672693135309513
CAF,CAF,4919987.0,4919987.0,-5.4569682106375694e-12,0.0,0.0,0.0,AF,8.198241009139306,12.676166265874668,5.241371239707247,7.01794142454619,3.8036477076469533,3.8163404736594746,3.74648417948604,3.8070760137723605,3.60555102539062,100.0,-1.1091428108727867e-16,0.0,0.0,0.35672693135309513
CHE,CHE,8715494.0,7851658.672968136,863835.3270318632,7851658.672968136,6297036.870944843,5851041.784054549,EU,8.874774442194944,11.661732246365043,4.1277875977951375,9.301974767101573,3.8991517906761595,3.9782506079032585,3.7628643847120458,3.9286948925738616,2.0,90.08850987641247,9.911490123587523,72.25106082276969,67.13379395424458,0.35672693135309513
CHL,CHL,19212362.000000004,16771087.485218573,2418475.4435124192,16771087.485218573,9738535.915964946,14994779.465359544,SA,8.051921818275638,15.607147667851258,4.175535539682791,8.781999101053891,3.931009237302389,3.9921309641291307,3.8390174548376113,3.9539222784171466,0.0,87.29320988860489,12.588121353909628,50.68890496631775,78.0475584696954,0.35672693135309513
CHN,CHN,1444216102.0,1171590329.1141348,272625772.88586515,797026903.6618872,640738400.7333243,422059149.1454573,AS,11.17278910580162,17.224042875518755,4.679522264664998,10.945474406303,3.83691158115335,3.881042686645942,3.6963336270121205,3.8606782076409107,4.0,81.12292388179833,18.877076118201675,44.36582585154727,29.22409939627285,0.35672693135309513
