ISOCODE,Entity,country_pop_raw,country_pop_with_water,country_pop_without_water,population_piped_with_access,population_piped_with_cycling_access,population_piped_with_walking_access,Nat Piped,region,subregion,mean_max_distance_cycling,max_max_distance_cycling,min_max_distance_cycling,median_max_distance_cycling,mean_max_distance_walking,max_max_distance_walking,min_max_distance_walking,median_max_distance_walking,weighted_med,percent_with_water,percent_without_water,percent_piped_with_cycling_access,percent_piped_with_walking_access,percent_piped_with_only_cycling_access
AFG,Afghanistan,39835428.0,25811703.57151527,14023724.428484727,1512092.491515273,717160.6364096748,1165931.1456520946,22.0,Asia,Southern Asia,9.839867441257216,16.752372027032685,4.6263000474164455,8.765332300149971,3.8157951159914925,3.8679183439340035,3.6362407970154074,3.856290873964762,9.055384765625,64.79584848822327,35.20415151177672,1.800308600700047,2.926869884897671,0.3445424304186795
AGO,Angola,33933610.99999999,11552707.676140884,22380903.32385911,2159309.995919242,272575.6181655032,2066521.7719099002,42.0,Africa,Middle Africa,10.207444255812439,14.81357769548675,5.953468243454106,11.12826083810656,3.874525634864792,3.8844511903168195,3.8513305295769964,3.8749842047173706,6.0,34.045028912899625,65.95497108710039,0.8032614571007586,6.089896450778259,0.3445424304186795
ALB,Albania,2872934.0,2184543.1936644525,688390.8063355475,1581227.0536644524,400547.541504671,1502136.783918297,81.0,Europe,Southern Europe,10.05795287360312,17.680538433346307,8.28870512977204,9.358030191886472,3.948281681448067,4.016101278554617,3.883701216100798,3.953842838589578,1.41421398925781,76.03875319323217,23.961246806767836,13.942107319718133,52.285808999381715,0.3445424304186795
AND,Andorra,77354.00000000001,52819.707307711935,24534.29269228808,52819.707307711935,41134.87324723627,30769.806610864165,100.0,Europe,Southern Europe,7.565302843984641,9.173045680976074,3.9720272642917305,8.92277902382115,3.8784347852039933,3.916986104889682,3.865613121432091,3.8691698332561066,5.09902001953125,68.28309758734122,31.716902412658783,53.177435229252865,39.7779127270266,0.3445424304186795
ARE,United Arab Emirates,9991082.999999998,0.0,9991082.999999998,0.0,0.0,0.0,100.0,Asia,Western Asia,7.758610927763199,15.22533364868772,4.471330841083797,6.195859341766372,4.025868205513637,4.035337909245808,3.9941246101591634,4.03276278634657,209.89759375,0.0,100.0,0.0,0.0,0.3445424304186795
ARG,Argentina,45605823.0,19888113.664584294,25610101.68375094,14883309.97626742,13174435.33133578,6211830.770380373,96.0,Americas,South America,13.060150054223891,16.534596042391094,8.67893307818876,14.46599471980897,4.013632493163457,4.034818661895569,3.877092410570466,4.031911282418486,13.03841015625,43.608715633931865,56.15533280421437,28.887616678545147,13.620696572848544,0.3445424304186795
ARM,Armenia,2968127.999999999,1269203.1543727454,1698924.8456272539,1269203.1543727454,117568.70403091295,1199619.2191060754,100.0,Asia,Western Asia,9.633227833513612,16.663367104579088,4.25280660038114,9.190383117726848,3.9251468488966856,3.987294431002235,3.8339949539735607,3.932752176820385,6.7082041015625,42.76106537092557,57.238934629074436,3.9610388780710597,40.41669426339011,0.3445424304186795
AUS,Australia,25788216.999999996,12094944.196143776,11934497.197518524,8971116.814967675,8971116.814967675,0.0,91.0,Oceania,Australia and New Zealand,9.339400355880471,14.60944514414926,4.638527426420105,9.05481442647626,4.048633899328051,4.0577978799466905,4.033729212142244,4.051504252611634,5.0,46.90104863063537,46.27887688985449,34.78765831297168,0.0,0.3445424304186795
AUT,Austria,9043071.999999998,8552638.165139832,490433.83486016665,8552638.165139832,7673046.591999998,5805884.971220023,99.4285714285714,Europe,Western Europe,9.381841699589843,12.486325611294237,7.30493815486303,9.058631651488415,3.9127330840397256,4.00482067795427,3.8329128135241146,3.9018714112991715,3.60555102539062,94.57668992505901,5.4233100749409795,84.85000000000001,64.20257376276584,0.3445424304186795
AZE,Azerbaijan,10223344.0,8110596.217033933,2112747.7829660666,7107579.732095116,583034.815626047,7008104.099322308,91.0,Asia,Western Asia,10.654688274870207,16.137809122619387,4.190286944373282,10.136299003265176,3.9513194360773456,3.995055672858564,3.8383498688934994,3.974252627332561,1.41421398925781,79.33408302639462,20.665916973605373,5.7029756176261595,68.5500174827562,0.3445424304186795
BDI,Burundi,12255428.999999998,9678222.044800662,2577206.955199338,5532713.626726829,1320902.6800374812,5297875.4046406895,38.0,Africa,Eastern Africa,10.68475109149559,17.456773105597513,9.334300282096105,10.176380211076815,3.782653261468313,3.819416472192538,3.745770994716383,3.7836828921278896,2.23606811523438,78.97089563164752,21.029104368352495,10.7781023417253,43.22880418662366,0.3445424304186795
BEL,Belgium,11632334.0,10237436.082568897,1394897.9174311028,10237436.082568897,8355662.235751955,6910664.145490057,100.0,Europe,Western Europe,13.238474058586998,16.346209513899392,9.747531850355642,13.177562667989164,4.0353056799063864,4.044720698466042,4.008267550434963,4.0384567623583045,3.60555102539062,88.00844338349377,11.991556616506221,71.83134730959372,59.40909318362125,0.3445424304186795
BEN,Benin,12451031.000000002,7366019.419224286,5085011.580775715,2267913.648436266,1271468.1479362734,1647017.356198335,37.0,Africa,Western Africa,12.367186190959854,14.669764416058069,6.6326810238250715,12.764650810285206,3.8782415356941917,3.8817915832996035,3.87505678360943,3.878450710482085,7.21110302734375,59.15991550598729,40.8400844940127,10.211749918029064,13.22795964605931,0.3445424304186795
BES,Bonaire Sint Eustatius and Saba,26445.0,8499.799333667255,17945.200666332745,1737.4350479529608,1737.4350479529608,0.0,86.1428571428571,Americas,Caribbean,15.877603197328032,17.661860466575828,12.748875319915534,17.104224395092142,4.026868185616925,4.029321140497685,4.020656521959781,4.029321140497685,19.104970703125,32.141423080609776,67.85857691939022,6.5699945091811705,0.0,0.3445424304186795
BFA,Burkina Faso,21497097.0,13940090.112493405,7557006.887506594,826860.9424934055,784892.6628729778,265622.0229141004,28.0,Africa,Western Africa,12.300695786106637,16.103267209657975,7.077930009813792,13.961907242659507,3.8673008110117477,3.8698980477054183,3.8638818951029688,3.8673874741824648,14.8660703125,64.84638420012435,35.153615799875645,3.651156539289829,1.2356181065475975,0.3445424304186795
BGD,Bangladesh,166303494.0,158285374.77285656,8018119.227143433,38806073.24016933,11822785.783925628,36170626.616948664,15.0,Asia,Southern Asia,16.031131064301924,17.143167233339685,12.973095982615682,16.473284554973922,3.7881398625783205,3.7894713742598074,3.779286523859446,3.789167113000513,3.16227807617188,95.17862250859056,4.8213774914094305,7.109162591572265,21.74976950090337,0.3445424304186795
BGR,Bulgaria,6896655.0,5380009.45977348,1516645.54022652,5380009.45977348,1514893.5991435233,4994980.435034837,100.0,Europe,Eastern Europe,10.407932665542655,16.025814012872424,8.501706538095734,10.202976271702566,4.001613313038102,4.03828801695109,3.9180180406713037,4.015126015048498,2.0,78.00896898240495,21.991031017595052,21.965628252298007,72.42613172668251,0.3445424304186795
BIH,Bosnia and Herzegovina,3263458.9999999995,1590510.6191975088,1672948.3808024907,1362068.4891975087,825253.5621070282,986429.4874871013,95.0,Europe,Southern Europe,7.227906702960643,10.90117147734594,4.132829705614094,8.990597261860675,3.9788356788043027,4.019065396278118,3.9341509431576434,3.9904715790552996,4.12310498046875,48.73695729584803,51.26304270415197,25.287695114509738,30.226501619511737,0.3445424304186795
BLR,Belarus,9442867.0,4657091.309797022,4785775.690202978,3807233.2797970218,3082642.4254640387,1178004.9655876812,96.0,Europe,Eastern Europe,13.05875691543344,15.199085101942787,5.667597430534153,13.846090078078607,4.042192276684327,4.045167800574881,4.036343530663505,4.042659085791444,5.0,49.318615943622014,50.681384056377986,32.645195844271015,12.475077384735814,0.3445424304186795
BLZ,Belize,404915.00000000006,347539.500876039,57354.632355862435,266560.67422965873,210058.15700888584,194300.26554598653,87.0,Americas,Central America,11.818618779307801,15.17306501389877,4.389111457671994,12.163392409685382,4.014749563700842,4.029027410500423,3.974723601173201,4.0213994986984805,2.23606811523438,85.83023619180295,14.164610438206148,51.87709939342474,47.98544522825445,0.3445424304186795
BOL,Bolivia,11832935.999999998,8311609.371499107,3521326.6285008905,1211847.7714991088,795603.9972497084,656535.9215290229,69.0,Americas,South America,9.553723358278413,14.556846819943587,4.460891201483557,8.86608684361789,3.903010769120835,3.952824360363596,3.7527562134980412,3.9338461708651264,5.8309521484375,70.24131096034922,29.758689039650775,6.723639824044586,5.548377186600375,0.3445424304186795
BRA,Brazil,213993441.0,86493102.67693086,127500338.32306914,69373627.39693086,52150988.760331266,40638599.897592224,98.0,Americas,South America,7.856127720141686,12.743896579690642,4.25439702432057,6.448900714233362,3.9897458708816016,4.00824430066615,3.9205024622434843,3.997898653130116,4.47213623046875,40.41857650998325,59.581423490016746,24.370367856429425,18.99058200461024,0.3445424304186795
BRN,Brunei,441531.99999999994,229886.02464255056,211645.97535744935,195495.13257671788,157189.02463972731,69007.58050259514,100.0,Asia,South-Eastern Asia,8.491568970042204,15.70502809097239,4.945010091956695,6.2989994354532906,3.953820028801398,3.9654524048273663,3.9284490969769816,3.957774591166748,4.0,52.06554103497608,47.934458965023914,35.60082273532322,15.629123257792221,0.3445424304186795
BTN,Bhutan,779900.0,676417.8485463902,103482.15145360983,676417.8485463902,45524.56965365045,672450.734270667,100.0,Asia,Southern Asia,5.79652883317295,9.140755754788888,4.5979504265666815,4.651106144984997,3.7149592457953284,3.8528283703702484,3.6747960783755014,3.704433527304054,3.16227807617188,86.73135639779333,13.26864360220667,5.837231651961847,86.22268678941748,0.3445424304186795
BWA,Botswana,2397240.0000000005,372024.4798456166,2024994.0579971648,64402.292458904274,64402.292458904274,0.0,91.0,Africa,Southern Africa,10.390941945647677,16.48686196221639,7.023810466772613,7.203693672954897,3.944073083271983,3.945946649336883,3.933293707516734,3.945488005782563,30.80583984375,15.518866690261158,84.4718950959088,2.6865183485551825,0.0,0.3445424304186795
CAF,Central African Republic,4919987.0,2312393.8899999997,2607593.11,0.0,0.0,0.0,14.0,Africa,Middle Africa,7.919296153107683,12.445504887936309,4.998287864589943,6.696524205568327,3.8574641992706438,3.870348984126819,3.799436203428331,3.8609443512050827,3.60555102539062,46.99999999999999,53.0,0.0,0.0,0.3445424304186795
CAN,Canada,38067913.0,25244594.04812103,12277097.462165873,25244594.04812103,25244594.04812103,0.0,100.0,Americas,Northern America,9.997462675631738,9.997462675631738,9.997462675631738,9.997462675631738,4.015487272863693,4.015487272863693,4.015487272863693,4.015487272863693,5.0,66.31462577977688,32.25051360752525,66.31462577977688,0.0,0.3445424304186795
CHE,Switzerland,8715494.0,7851658.672968136,863835.3270318632,7851658.672968136,6297036.870944843,5851041.784054549,100.0,Europe,Western Europe,8.838893638991106,11.613044695879106,4.060818895898598,9.274381189876841,3.9129452121661843,3.992342440710747,3.7761440593610667,3.942599664177902,2.0,90.08850987641247,9.911490123587523,72.25106082276969,67.13379395424458,0.3445424304186795
CHL,Chile,19212362.000000004,16771087.485218573,2418475.4435124192,16771087.485218573,9738535.915964946,14994779.465359544,100.0,Americas,South America,7.8953062931523466,15.456618063293705,3.9933704013079687,8.717262962733695,3.9682884701201733,4.030028284204139,3.8753669122141856,3.99143304905517,0.0,87.29320988860489,12.588121353909628,50.68890496631775,78.0475584696954,0.3445424304186795
CHN,China,1444216102.0,1130974489.9730213,313241612.0269786,797026903.6618872,640738400.7333243,422059149.1454573,80.0,Asia,Eastern Asia,11.028689664958534,17.143563400950168,4.462410242062714,10.832523350587259,3.884942006702635,3.9296631006787504,3.7424859245459605,3.9090261987820947,4.0,78.31061351599729,21.6893864840027,44.36582585154727,29.22409939627285,0.3445424304186795
CIV,Cote d'Ivoire,27053629.0,15995880.020004772,11057748.979995225,4633355.840004773,2455451.5014063064,3830292.540623402,42.0,Africa,Western Africa,10.21045384657663,13.232047966657918,6.012151152936406,11.43481776689368,3.8873595919755415,3.8922511662015085,3.8841200248006063,3.8872673764069647,5.0,59.12655939801928,40.8734406019807,9.076237060123454,14.158146918564613,0.3445424304186795
CMR,Cameroon,27224262.000000007,15392361.920665752,11831900.079334255,2528122.4678622475,945688.828452353,1855139.0848885048,36.0,Africa,Middle Africa,10.146479884974863,15.021742762221745,4.939211435197517,10.698956159173017,3.90601793252493,3.9219157919089565,3.870359772961727,3.907685347115976,5.0,56.53913380890086,43.46086619109914,3.4736986752932104,6.814286039740964,0.3445424304186795
COD,Democratic Republic of Congo,92377985.99999999,28660578.627593637,63717407.372406356,6489861.987593641,1544445.8938650272,6280691.00041734,35.0,Africa,Middle Africa,8.796216514897177,15.651211692001088,5.471835704312502,7.361595422949944,3.8191010217668313,3.832398129959262,3.7913584365142263,3.821436547856777,1.0,31.02533392273094,68.97466607726906,1.671876559275743,6.7989044493970034,0.3445424304186795
COG,Congo,5657017.0,4767103.443755013,889913.5562449882,3181644.495396202,188043.54491308692,3181297.5031701545,53.0,Africa,Middle Africa,8.845169421980003,15.924697896438202,5.432083603463038,7.568826516212951,3.869029068277693,3.8831500286074085,3.838423552557219,3.872161035055203,0.0,84.26885483559644,15.731145164403577,3.324076008841531,56.2363079900618,0.3445424304186795
COL,Colombia,51265841.0,36814434.5805579,14451406.419442102,22972657.510557897,9955220.118290756,19516397.88945598,89.0,Americas,South America,9.383161568648175,13.98586297687164,6.389021548669886,8.914815100750973,3.949212565841696,3.9695174088449248,3.796597959261125,3.966448623796973,2.82842700195312,71.81084687669104,28.18915312330895,19.418817528597174,38.06900951738211,0.3445424304186795
CRI,Costa Rica,5139052.999999999,4503262.9531293195,635790.0468706795,4503262.9531293195,3258667.1796495663,3562094.371722248,100.0,Americas,Central America,10.400764776645927,16.648115920337105,4.184103943181914,10.130638539961033,3.954755784282137,3.993231854941402,3.847958272596133,3.9673771721852926,3.60555102539062,87.62826445123878,12.371735548761214,63.40987687127505,69.31421745839648,0.3445424304186795
CUB,Cuba,11317497.999999998,6852906.842367225,4464591.157632773,3130221.841187155,1632351.5436738164,1945875.7599878805,80.0,Americas,Caribbean,13.77140147893115,17.73945707786779,6.801948949235046,15.067468218365658,3.967449421033254,3.971182777386058,3.9545921953651133,3.9690562230551834,5.8309521484375,60.551429674361124,39.448570325638876,14.423254536239515,17.193515386420927,0.3445424304186795
CYP,Cyprus,1215588.0000000002,914110.517433952,301477.4825660483,914110.517433952,557480.041679344,767772.8218613734,100.0,Europe,Southern Europe,11.184213641090185,17.664266124041493,5.02260054760773,10.565220197384736,4.000403328941869,4.0276440956707535,3.925307829717332,4.011392020833598,1.0,75.19904091139036,24.800959088609645,45.860936573851,63.16061213679086,0.3445424304186795
CZE,Czechia,10724552.999999998,7962465.640829248,2762087.35917075,7962465.640829248,4585818.862799999,5899103.385795334,100.0,Europe,Eastern Europe,10.973168075682896,15.460533995910053,9.217559424941129,10.597425550809271,4.051758407511706,4.0706615984669146,4.004329082728932,4.053415847016071,4.0,74.24519829245331,25.754801707546694,42.760000000000005,55.00558751302115,0.3445424304186795
DEU,Germany,83900470.99999999,73486689.16412546,10413781.835874531,73486689.16412546,63165202.58980991,44108916.98425444,100.0,Europe,Western Europe,13.352468408753618,16.48395887243707,9.855538306933935,13.794158616413105,4.042314245125929,4.052006161799383,4.017577492493519,4.046321876510075,3.60555102539062,87.58793399875606,12.412066001243941,75.28587365118597,52.57290746824824,0.3445424304186795
DJI,Djibouti,1002197.0,333888.895618785,668308.104381215,3163.8856187850124,3163.8856187850124,0.0,83.0,Africa,Eastern Africa,11.575497558366369,16.86755638394886,8.90303240631113,10.527290942520164,3.875078795917042,3.8983599312853427,3.8340243852744047,3.8764361768508433,24.207439453125,33.31569498000742,66.68430501999258,0.3156949800074249,0.0,0.3445424304186795
DNK,Denmark,5813301.999999999,5216826.793852706,596475.2061472926,5216826.793852706,4809506.039892173,3569857.6157803084,100.0,Europe,Northern Europe,14.650204734203555,17.658014121079738,12.21937802595533,14.55010903138676,4.027560063277965,4.031987108847584,4.022896541788733,4.027271555720834,3.60555102539062,89.73947670106777,10.26052329893222,82.73277458993485,61.40843217469708,0.3445424304186795
DOM,Dominican Republic,10953713.999999998,6461788.215700497,4491925.784299501,3504285.435700497,78616.78613778306,3477836.192449456,81.0,Americas,Caribbean,8.81730337590752,16.686402135082105,4.216452612032216,9.052461685188732,3.9444857889826097,3.9968507725660887,3.874650561206998,3.943913855129375,4.47213623046875,58.99175581634227,41.00824418365773,0.7177180829970827,31.75029211507126,0.3445424304186795
DZA,Algeria,44616625.99999999,17793075.157425076,26689612.736137617,0.0,0.0,0.0,72.0,Africa,Northern Africa,9.547770017501227,15.10995658677618,5.343259235097878,6.889662951009056,3.960596548000713,3.964242868360399,3.9436837788701853,3.9624294207510866,45.0,39.87992090084329,59.81988135126494,0.0,0.0,0.3445424304186795
ECU,Ecuador,17888474.0,11081699.711913677,6806774.288086322,8935082.831913678,6182198.144602301,7107887.134808619,91.0,Americas,South America,8.156233957869535,16.536537191396874,4.252580724189875,6.20325632853358,3.92921163378128,3.973817485075485,3.818142277716834,3.961249390120791,3.60555102539062,61.94882644497053,38.051173555029465,34.55967314261854,39.7344521103847,0.3445424304186795
EGY,Egypt,104258326.99999999,99406300.52991845,4852026.470081538,99406300.52991845,9741817.451932007,99406300.52991845,100.0,Africa,Northern Africa,10.718884060710351,16.55915297012884,5.595796375486829,10.236523492088718,4.02592290476279,4.03472766161729,4.010209224730723,4.026610555655051,3.16227807617188,95.34614969403688,4.653850305963128,9.343922670015612,95.34614969403688,0.3445424304186795
ERI,Eritrea,3601462.0,1507311.9218689506,2093444.707556955,79011.79219667333,8296.238180650698,79011.79219667333,52.0,Africa,Eastern Africa,8.509732085627512,14.798696982579457,5.194081714597963,7.424662774325451,3.7725757510179543,3.8002028532625847,3.7105890401115547,3.789084621622954,31.95308984375,41.85277872899813,58.12763559790316,0.23035750982936093,2.1938810459939138,0.3445424304186795
ESH,Western Sahara,611872.0,125610.14608375923,312564.78211540036,0.0,0.0,0.0,68.3333333333333,Africa,Northern Africa,12.015418112739473,14.928143904217585,6.7134633099022345,14.404647124098597,3.949320895033647,3.950373549414319,3.9481978386546115,3.9493912970320104,66.6108125,20.52882728475224,51.083360917871765,0.0,0.0,0.3445424304186795
ESP,Spain,46745210.99999999,43548802.19290225,3196408.80709774,43548802.19290225,28849022.278594,40855419.439433716,100.0,Europe,Southern Europe,11.229656956228748,17.346159679857386,8.321436754537508,10.297114383676508,3.974147761950409,4.016911292307739,3.879715606503448,3.985216601631331,2.23606811523438,93.16206144176408,6.8379385582359244,61.71546060321346,87.40022467634968,0.3445424304186795
EST,Estonia,1325187.9999999998,1065427.7675454826,258761.22430826857,1065427.7675454826,390978.89137347427,967784.2964155667,93.0,Europe,Northern Europe,14.528672326833972,17.611555827395406,12.168932048736545,14.561539244900072,4.059603428157211,4.062759615966498,4.0539747528091254,4.059567532643962,2.23606811523438,80.39823538588358,19.52637846918842,29.503654679447315,73.02996227067909,0.3445424304186795
ETH,Ethiopia,117876226.00000001,54784629.57605717,63091596.42394284,20990275.684859637,576102.9699532292,20894752.011163156,41.0,Africa,Eastern Africa,8.494179347377559,16.247980762967167,5.2261951401254105,6.871735318086118,3.754732901074751,3.7840266706406442,3.6875373618596052,3.7708408407145,10.0,46.47640277867156,53.523597221328444,0.4887355063040695,17.72601034169787,0.3445424304186795
FIN,Finland,5548361.000000001,5153079.693247735,395281.30675226625,5153079.693247735,4533967.270809814,4127416.149586134,100.0,Europe,Northern Europe,11.753979811587756,17.65148999697292,4.785360817818662,12.9624595821897,4.029437431827525,4.036466223654297,4.009714959616946,4.031188405013265,2.0,92.8757103809167,7.124289619083296,81.71723632996869,74.38982700632013,0.3445424304186795
FLK,Falkland Islands,3528.0000000000005,1376.258605419024,2098.116368289974,611.8961112030443,611.8961112030443,0.0,91.0,Americas,South America,9.827389070540942,11.899238912883167,6.989659090662763,10.593269208076897,3.986355930384265,3.996496936342475,3.976973477855108,3.9855973769552113,11.7047001953125,39.00959765926938,59.47041860232353,17.34399408171894,0.0,0.3445424304186795
FRA,France,65426176.99999999,47970913.46814608,17455263.531853914,47970913.46814608,39275334.0531,21755264.98635497,93.0,Europe,Western Europe,12.13561691821145,15.705164897940607,8.716202295986239,11.95949159660459,3.987343599488373,4.010792424064665,3.8562617638006103,4.000848146968718,4.47213623046875,73.32067326529882,26.67932673470118,60.03000000000001,33.25162187965678,0.3445424304186795
GAB,Gabon,2278829.0,1419470.9042223308,859358.095777669,553515.8842223309,19822.766024154826,552477.3480312382,82.0,Africa,Middle Africa,8.596047282668962,13.333946979329927,5.602825481596334,8.831423019462541,3.9260688560939228,3.946449318403855,3.883335165621057,3.931211930078405,2.0,62.28948746142562,37.71051253857437,0.8698663227541349,24.243914222227215,0.3445424304186795
GBR,United Kingdom,68207113.99999999,51183408.26905627,17022937.536669783,51183408.26905627,35626473.280400455,33491786.8431772,100.0,Europe,Northern Europe,12.087535314216852,16.414537009324807,5.161513957094083,11.378223016642224,4.034871605839256,4.050013537032327,4.016325814885995,4.035622420680854,4.12310498046875,75.04115812473209,24.9577156081839,52.23278217049392,49.10306986918872,0.3445424304186795
GEO,Georgia,3979773.0,2951300.6328290617,1028472.3671709386,1797166.4628290616,168617.22798927358,1773246.118074682,82.0,Asia,Western Asia,7.81855477096497,16.080058467074814,3.8814585758141105,8.67670802862657,3.9437724883353633,4.04210923452357,3.8532752796290684,3.958429791014524,3.16227807617188,74.15751181861533,25.84248818138468,4.236855418368676,44.55646385044278,0.3445424304186795
