Continent,Region,Country,Urban_Rural,Total_Population,Total_Pop_With_Water,Total_Pop_Without_Water,Proportion_With_Water,Avg_Pop_Density,Avg_Distance_To_Water
AF,Africa,Algeria,Rural,30585392.591733336,16835020.619135313,13750371.972598026,0.5504268277297021,20.094468640158844,224999.57358828682
AF,Africa,Algeria,Urban,13985819.470508542,6789697.96246735,7196121.508041191,0.48547015616672107,978.8434807934143,22577.540015326605
AF,Africa,Angola,Rural,21240368.522786893,20362063.761879973,878304.7609069184,0.9586492691986646,19.67705464914076,5456.487222892699
AF,Africa,Angola,Urban,12693242.477213105,9241892.608264826,3451349.8689482794,0.7280954905616797,2784.4580161552585,5006.052060081845
AF,Africa,Benin,Rural,9457116.22525387,8188262.387028776,1268853.838225095,0.8658307873137053,86.66126400046193,7166.46022330035
AF,Africa,Benin,Urban,2993914.7747461284,2378617.649593466,615297.1251526624,0.7944840880766765,818.6867767680777,6174.877435857599
AF,Africa,Botswana,Rural,2181308.323709257,609753.6615689753,1571554.6621402816,0.27953575152186894,4.4638415417485104,74594.46313823029
AF,Africa,Botswana,Urban,215424.19265556533,23520.580332512807,191903.6123230525,0.10918263191599419,210.283194523591,24000.964111328125
AF,Africa,Burkina Faso,Rural,17648368.61056041,16694913.053473132,953455.557087279,0.9459748615791745,70.05527636115319,14106.184347028871
AF,Africa,Burkina Faso,Urban,3848728.389439589,2222620.4741746574,1626107.9152649315,0.577494759119204,910.7113829718696,13332.64092791522
AF,Africa,Burundi,Rural,4354021.72266113,3784530.2742828783,569491.4483782515,0.8692033516015201,339.047310559503,3997.6933113887394
AF,Africa,Burundi,Urban,7901407.277338868,3846605.615692486,4054801.6616463824,0.48682538194487207,602.809998589593,3766.5242779705977
AF,Africa,Cabo Verde,Rural,426215.1831014056,98029.4921133233,328185.6909880823,0.23,115.14932830333723,657742.834375
AF,Africa,Cabo Verde,Urban,135685.81689859417,5427.432675943769,130258.3842226504,0.040000000000000015,366.5784630775439,689010.328125
AF,Africa,Cameroon,Rural,23326843.823991757,21675953.473262485,1650890.3507292706,0.9292278731239533,52.86621567544078,4366.5576770710495
AF,Africa,Cameroon,Urban,3897418.176008248,2486037.8583293674,1411380.3176788804,0.6378678771585086,823.2794890897026,5306.080111799569
AF,Africa,Central African Republic,Rural,4066384.0387366214,4066384.0387366214,1.7763568394002472e-12,1.0,7.508680992422312,4591.787378499943
AF,Africa,Central African Republic,Urban,851396.136063496,688674.7366668007,162721.3993966953,0.8088769815786905,1346.1316052675247,2595.7501831054688
AF,Africa,Chad,Rural,15485778.091071937,14605279.53919604,880498.5518758977,0.9431414716976002,11.735978493978513,132028.01518051545
AF,Africa,Chad,Urban,1429199.0123284566,1310906.6708550395,118292.34147341714,0.9172317217875103,416.38071234226226,28193.078732299804
AF,Africa,Comoros,Rural,815575.9549544537,383320.69882859336,432255.25612586044,0.47000000000000014,450.905599975586,307379.87916666665
AF,Africa,Comoros,Urban,72880.04504554611,17491.210810931065,55388.83423461504,0.23999999999999996,302.19766998291,327575.359375
AF,Africa,Congo,Rural,5107609.183102986,4819880.059976672,287729.1231263139,0.9436665741619032,8.46175707886301,6114.794509539182
AF,Africa,Congo,Urban,549407.8168970152,328346.5817916274,221061.2351053878,0.5976372590511848,333.2993795492434,3651.433549360797
AF,Africa,"Congo, Democratic Republic of the",Rural,80272966.34788126,78140622.2453804,2132344.10250086,0.9734363360479311,45.41658966798518,3492.6179564891727
AF,Africa,"Congo, Democratic Republic of the",Urban,12105002.075999506,8520140.40146654,3584861.6745329658,0.7038528657801187,881.4077628690806,3049.0875748212065
AF,Africa,Côte d'Ivoire,Rural,23856352.085595697,20839890.94392431,3016461.1416713847,0.873557317948342,74.15864260853803,6063.786911994643
AF,Africa,Côte d'Ivoire,Urban,3197276.155410313,2802320.230448688,394955.9249616249,0.8764711254943383,845.9613368455754,8566.056915992915
AF,Africa,Djibouti,Rural,557286.2871600678,416812.9266997337,140473.36046033405,0.7479332190709614,34.741533787019776,27655.88426799159
AF,Africa,Djibouti,Urban,444910.7128399321,0.0,444910.7128399321,0.0,3439.2613525390652,41348.205078125
AF,Africa,Egypt,Rural,29162334.33270575,15514720.77172945,13647613.560976299,0.5320123072016766,166.76635860555155,83191.4026683543
AF,Africa,Egypt,Urban,75095896.05695435,48024192.985396385,27071703.071557965,0.639504893169845,2937.418661361517,5106.206842111987
AF,Africa,Equatorial Guinea,Rural,1333787.7395550418,1217502.2595898663,116285.47996517555,0.9128156028754854,43.905877367242596,3802.7789699009486
AF,Africa,Equatorial Guinea,Urban,116103.2604449582,113738.0189896243,2365.241455333902,0.9796281220159601,392.38266881306953,2745.3560384114603
AF,Africa,Eritrea,Rural,3571096.1351774135,2271256.935420429,1299839.1997569846,0.6360111432025596,34.80485230016544,35162.56255629497
