Country,Urban_Rural,Total_Population_Mean,Proportion_With_Water_Mean,Proportion_With_Water_5th,Proportion_With_Water_95th,Avg_Pop_Density,Avg_Distance_To_Water
Afghanistan,Rural,32465807.754125334,0.8875380784163033,0.8646439981608736,0.9127590492166161,40.11684394480088,13919.417544110463
Afghanistan,Urban,7369620.245874668,0.8446684033255759,0.8050507137592812,0.8980148512776889,418.65498393867654,4474.847585947726
Albania,Rural,2453041.368817053,0.8657648298726647,0.5905716337947465,0.9307098302413263,81.2450502053429,3167.3769212431066
Albania,Urban,419892.63118294673,0.8212855457488066,0.47197459117851537,0.8519030378596147,492.53599675496383,2967.9372151692714
Algeria,Rural,30585392.591733336,0.5504268277297021,0.47642803364746833,0.6155266675394216,20.094468640158844,224999.57358828682
Algeria,Urban,13985819.470508542,0.48547015616672107,0.4109211369691516,0.6877612365778379,978.8434807934143,22577.540015326605
American Samoa,Rural,0.0,,,,,
Angola,Rural,21240368.522786893,0.9586492691986646,0.9376572859806036,0.9703292521664281,19.67705464914076,5456.487222892699
Angola,Urban,12693242.477213105,0.7280954905616797,0.5515507912255149,0.7480129431077357,2784.4580161552585,5006.052060081845
Anguilla,Rural,0.0,,,,,
Antigua and Barbuda,Rural,62348.54031650228,0.019999999999999997,0.019999999999999997,0.019999999999999997,189.08797526359547,70938.453125
Antigua and Barbuda,Urban,36379.45968349773,0.02,0.02,0.02,441.320251464844,56080.30078125
Argentina,Rural,32610966.15076212,0.6769589695578034,0.5509109428634456,0.779842317413045,11.368626383008314,17152.786862382512
Argentina,Urban,12982490.846032724,0.5821524677535059,0.4404778014040953,0.7193337759715055,1068.5672398896731,11037.977256823497
Armenia,Rural,1691326.261157274,0.6047665303310767,0.32616933149380595,0.7651183013790356,64.87072553418999,3646.079710921621
Armenia,Urban,1276766.919148827,0.4725165561932751,0.17508551596905061,0.8265359604766366,1062.9441092996037,2655.518109489888
Aruba,Rural,0.0,,,,,
Australia,Rural,8626927.467313562,0.7966414764422982,0.6701034054708496,0.8557797797643304,5.90856423569786,23558.14530561236
Australia,Urban,17069102.67264821,0.775650476370353,0.6241475712182516,0.8906588214517268,1134.4774527863824,3888.9328986070827
Austria,Rural,6464759.535598422,0.921699387460957,0.7683573103370884,0.9733160028020436,79.59533840532731,3328.5074918584937
Austria,Urban,2578312.4644015785,0.8636480984115888,0.8397931958736539,0.9665896826780819,988.3173687405057,2267.7839409722224
Azerbaijan,Rural,7077262.822295366,0.705743134134984,0.4082479952926543,0.8315031535687664,90.1529660300543,3302.3601377216432
Azerbaijan,Urban,3146081.177704635,0.6245964352763501,0.2804819716354665,0.836318903232748,828.4568088719102,2813.275532706839
Bahamas,Rural,195771.67180635995,0.8321411073083077,0.7528342283069016,0.8940301735276731,17.49483202989786,6607.154391354077
Bahamas,Urban,201142.3281936401,0.2620052178296892,0.2620052178296892,0.7281590675897588,1312.158386230465,6901.79553222656
Bahrain,Rural,271571.0648521336,0.0,0.0,0.0,694.8647570610049,236812.759375
Bahrain,Urban,1476723.9351478666,0.0,0.0,0.0,6297.451822916667,222971.80208333334
Bangladesh,Rural,31012683.51218365,0.9929805394334857,0.9856487218993761,0.9962154825737557,737.4963582381178,2697.048877328005
Bangladesh,Urban,135290810.48781633,0.8681430700458059,0.8238489767110405,0.9476348496357315,1451.2578120772457,2896.8860772203057
Barbados,Rural,13708.406569811208,0.15384615384615377,0.15384615384615377,0.15384615384615377,167.467559814453,144138.796875
Barbados,Urban,273999.5934301888,0.06769230769230758,0.06769230769230758,0.06769230769230758,669.4584533691415,142488.08125
Belarus,Rural,6588067.7136932695,0.8012166465068525,0.5443611725654227,0.9034505757981567,29.907098992721394,3631.6944142167326
Belarus,Urban,2854799.286306731,0.7934088668193002,0.7214707307358064,0.8967362673960397,994.1513489209685,2822.775637113131
Belgium,Rural,5854005.970094383,0.8229285795138375,0.6784614855112161,0.9250976834162709,255.99622751174127,4071.5586260179634
Belgium,Urban,5778328.029905618,0.835283212382539,0.6927545636279797,0.9219190897740752,888.8369866086726,3346.504612972861
Belize,Rural,400794.2453068261,0.8950968164397367,0.779950759204517,0.9581600585560428,18.205175548451937,3228.509489922469
Belize,Urban,4120.754693173925,1.0,1.0,1.0,49.2272872924805,0.0
Benin,Rural,9457116.22525387,0.8658307873137053,0.8069832790783907,0.9009813044793219,86.66126400046193,7166.46022330035
Benin,Urban,2993914.7747461284,0.7944840880766765,0.6913726152624156,0.8821449714532826,818.6867767680777,6174.877435857599
Bermuda,Rural,0.0,,,,,
Bhutan,Rural,779900.0,0.4363181193309374,0.21102528678152024,0.6182189839425788,20.227162376526866,6403.099052921419
"Bolivia, Plurinational State of",Rural,10233567.942794314,0.8856821362998872,0.8479982555907399,0.9187851996648133,9.959004138379088,8619.38531893723
"Bolivia, Plurinational State of",Urban,1599326.0827909824,0.46747431845380116,0.35785984968219403,0.6575900641583227,680.724742583434,6424.817468261719
"Bonaire, Sint Eustatius and Saba",Rural,0.0,,,,,
Bosnia and Herzegovina,Rural,2878716.120386342,0.6256712901356253,0.3972873452746829,0.8189757852318232,59.58687227211966,4787.296751721071
Bosnia and Herzegovina,Urban,384742.879613658,0.8309942076460893,0.6421616902376948,0.9407736273812286,292.4899990775368,3025.574446244673
Botswana,Rural,2181308.323709257,0.27953575152186894,0.26202323922238085,0.304001182636544,4.4638415417485104,74594.46313823029
Botswana,Urban,215424.19265556533,0.10918263191599419,0.04629191368512663,0.1344420210966287,210.283194523591,24000.964111328125
Brazil,Rural,110445729.10720633,0.6250292400793644,0.47180640568333043,0.7470811699038983,17.634750734648357,7433.029258714127
Brazil,Urban,103484370.67531845,0.5328628503408407,0.4160277822822248,0.7106560419483966,1996.0177064915404,6282.016534199935
Brunei Darussalam,Rural,244890.96559282974,0.7281263228234542,0.49478684339676604,0.9578202279924922,53.33431449689365,3052.118585954633
Brunei Darussalam,Urban,196608.6141512065,0.8200612834632902,0.6450642407370305,1.0,813.5609537760416,2412.022705078127
Bulgaria,Rural,5685047.4732123725,0.6931110231924585,0.4173750250788723,0.8420645874025913,54.98787024007163,3613.5090704327804
Bulgaria,Urban,1211607.5267876275,0.4340137902431338,0.3915550736556646,0.8137943601345783,555.0302438735956,2919.186838785807
Burkina Faso,Rural,17648368.61056041,0.9459748615791745,0.9321452596906575,0.9624341264334582,70.05527636115319,14106.184347028871
Burkina Faso,Urban,3848728.389439589,0.577494759119204,0.49909719700682187,0.8673095711180484,910.7113829718696,13332.64092791522
Burundi,Rural,4354021.72266113,0.8692033516015201,0.7953696035779152,0.9188779732613179,339.047310559503,3997.6933113887394
Burundi,Urban,7901407.277338868,0.48682538194487207,0.33447028284802977,0.7864392552179624,602.809998589593,3766.5242779705977
Cabo Verde,Rural,426215.1831014056,0.23,0.23,0.23,115.14932830333723,657742.834375
Cabo Verde,Urban,135685.81689859417,0.040000000000000015,0.040000000000000015,0.040000000000000015,366.5784630775439,689010.328125
Cambodia,Rural,12906208.633008506,0.9556416294097225,0.9247620860985513,0.9726546035658019,88.70615631727308,5075.564339653729
Cambodia,Urban,4040237.366991494,0.8357421320324377,0.7676692988510645,0.8894106447807308,450.97034667968745,4313.179754882813
