Continent,Region,Country,Urban_Rural,Total_Population_Mean,Total_Pop_With_Water_Mean,Proportion_With_Water_Mean,Total_Population_5th,Proportion_With_Water_5th,Total_Population_95th,Proportion_With_Water_95th,Avg_Pop_Density,Avg_Distance_To_Water
AF,Africa,Algeria,Rural,30585392.591733336,16835020.619135313,0.5504268277297021,30585392.591733336,0.47642803364746833,30585392.591733336,0.6155266675394216,20.094468640158844,224999.57358828682
AF,Africa,Algeria,Urban,13985819.470508542,6789697.96246735,0.48547015616672107,13985819.470508542,0.4109211369691516,13985819.470508542,0.6877612365778379,978.8434807934143,22577.540015326605
AF,Africa,Angola,Rural,21240368.522786893,20362063.761879973,0.9586492691986646,21240368.522786893,0.9376572859806036,21240368.52278689,0.9703292521664281,19.67705464914076,5456.487222892699
AF,Africa,Angola,Urban,12693242.477213105,9241892.608264826,0.7280954905616797,12693242.477213107,0.5515507912255149,12693242.477213107,0.7480129431077357,2784.4580161552585,5006.052060081845
AF,Africa,Benin,Rural,9457116.22525387,8188262.387028776,0.8658307873137053,9457116.225253874,0.8069832790783907,9457116.225253873,0.9009813044793219,86.66126400046193,7166.46022330035
AF,Africa,Benin,Urban,2993914.7747461284,2378617.649593466,0.7944840880766765,2993914.7747461284,0.6913726152624156,2993914.7747461284,0.8821449714532826,818.6867767680777,6174.877435857599
AF,Africa,Botswana,Rural,2181308.323709257,609753.6615689753,0.27953575152186894,2181308.323709257,0.26202323922238085,2181308.323709257,0.304001182636544,4.4638415417485104,74594.46313823029
AF,Africa,Botswana,Urban,215424.19265556533,23520.580332512807,0.10918263191599419,215424.19265556528,0.04629191368512663,215424.19265556533,0.1344420210966287,210.283194523591,24000.964111328125
AF,Africa,Burkina Faso,Rural,17648368.61056041,16694913.053473132,0.9459748615791745,17648368.610560413,0.9321452596906575,17648368.610560413,0.9624341264334582,70.05527636115319,14106.184347028871
AF,Africa,Burkina Faso,Urban,3848728.389439589,2222620.4741746574,0.577494759119204,3848728.389439589,0.49909719700682187,3848728.3894395884,0.8673095711180484,910.7113829718696,13332.64092791522
AF,Africa,Burundi,Rural,4354021.72266113,3784530.2742828783,0.8692033516015201,4354021.72266113,0.7953696035779152,4354021.72266113,0.9188779732613179,339.047310559503,3997.6933113887394
AF,Africa,Burundi,Urban,7901407.277338868,3846605.615692486,0.48682538194487207,7901407.277338868,0.33447028284802977,7901407.277338868,0.7864392552179624,602.809998589593,3766.5242779705977
AF,Africa,Cabo Verde,Rural,426215.1831014056,98029.4921133233,0.23,426215.1831014056,0.23,426215.1831014056,0.23,115.14932830333723,657742.834375
AF,Africa,Cabo Verde,Urban,135685.81689859417,5427.432675943769,0.040000000000000015,135685.81689859417,0.040000000000000015,135685.81689859417,0.040000000000000015,366.5784630775439,689010.328125
AF,Africa,Cameroon,Rural,23326843.823991757,21675953.473262485,0.9292278731239533,23326843.823991753,0.8867965102659267,23326843.823991753,0.9493819901012726,52.86621567544078,4366.5576770710495
AF,Africa,Cameroon,Urban,3897418.176008248,2486037.8583293674,0.6378678771585086,3897418.1760082473,0.596143648344479,3897418.176008248,0.7061869767673781,823.2794890897026,5306.080111799569
AF,Africa,Central African Republic,Rural,4066384.0387366214,4066384.0387366214,1.0,4066384.0387366214,1.0,4066384.0387366214,1.0,7.508680992422312,4591.787378499943
AF,Africa,Central African Republic,Urban,851396.136063496,688674.7366668007,0.8088769815786905,851396.1360634961,0.7565990489320851,851396.1360634961,0.9997506246807467,1346.1316052675247,2595.7501831054688
AF,Africa,Chad,Rural,15485778.091071937,14605279.53919604,0.9431414716976002,15485778.091071941,0.938359313050701,15485778.09107194,0.9468345617201932,11.735978493978513,132028.01518051545
AF,Africa,Chad,Urban,1429199.0123284566,1310906.6708550395,0.9172317217875103,1429199.0123284564,0.7258470239241892,1429199.0123284566,0.9417428407214168,416.38071234226226,28193.078732299804
