alpha3,Entity,Population,YearPBO,PBO,Terrain Ruggedness,Urban %,Urban Agg %,RoadQuality,Km,Country,Year,Population,Urb %,National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped,Country,Year,Data source,Spatial Adjustment,No. HPs,Year of HP estimate,2015 (C),Temporal factor,No. HPs in 2015,% non- functional,Non-functional HPs,Functional HPS,Risk
ANT,Netherlands Antilles,321292.0,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SJM,Svalbard and Jan Mayen,2400.0,,,162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BGR,Bulgaria,6896655.0,2000.0,22.62,147.9,75.68599700927734,18.66188621520996,4.2,9.5,Bulgaria,2020.0,6948.0,76.0,100.0,0.0,0.0,0.0,98.0,100.0,0.0,,,,,,,,,,,,,0
YEM,Yemen,30490639.0,2006.0,9.32,232.3,37.90800094604492,10.085785865783691,2.8,23,Yemen,2020.0,29826.0,38.0,61.0,29.0,8.0,3.0,49.0,56.0,34.0,,,,,,,,,,,,,0
TCD,Chad,16914985.0,2004.0,21.5,41.9,23.520000457763672,8.726662635803223,3.2,11,Chad,2020.0,16426.0,24.0,46.0,15.0,32.0,8.0,9.0,20.0,41.0,Chad,2000,See Table 1,No,3267.0,1106678.0,4041010.0,3.65,11929.0,16%,1909.0,10020.0,0
MLI,Mali,20855724.0,2006.0,46.2,14.7,43.90900039672852,13.009349822998049,3.8,9.6,Mali,2020.0,20251.0,44.0,83.0,4.0,12.0,1.0,36.0,50.0,37.0,Mali,2015-16,See Table 1,Multiplied 19951 HPs by 1.11 based on data from INSTAT (2016)c,22147.0,5580145.0,5580145.0,1.0,22147.0,29%,6423.0,15724.0,0
OWID_CIS,Channel Islands,175244.0,,,,30.96299934387207,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MDV,Maldives,543620.0,2009.0,39.9,1.2,40.66899871826172,,,,Maldives,2020.0,541.0,41.0,100.0,0.0,0.0,0.0,98.0,51.0,48.0,,,,,,,,,,,,,0
MYS,Malaysia,32776195.0,2002.0,44.49,100.9,77.16000366210938,25.05109214782715,4.0,2.5,Malaysia,2020.0,32366.0,77.0,97.0,0.0,3.0,,94.0,95.0,2.0,,,,,,,,,,,,,0
MWI,Malawi,19647681.0,2010.0,43.8,102.7,17.427000045776367,5.959232330322266,3.9,2.5,Malawi,2020.0,19130.0,17.0,70.0,22.0,6.0,2.0,18.0,22.0,70.0,Malawi,2007,See Table 1,No,24769.0,7018868.0,10828276.0,1.54,38212.0,22%,8407.0,29805.0,0
CHL,Chile,19212362.0,2002.0,53.1,248.1,87.72699737548828,35.45489883422852,5.7,3.2,Chile,2020.0,19116.0,88.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,,,,,,,0
MDG,Madagascar,28427333.0,2008.0,22.6,116.9,38.53400039672852,12.424409866333008,2.2,,Madagascar,2020.0,27691.0,39.0,53.0,3.0,32.0,12.0,23.0,35.0,21.0,Madagascar,2018,See Table 1,No,15068.0,3532216.0,3163536.0,0.9,13495.0,20%,2699.0,10796.0,0
MAC,Macao,658391.0,,,73.2,100.0,,,,China Macao SAR,2020.0,649.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,,,,,,,0
