alpha3,Entity,Population,YearPBO,PBO,Terrain Ruggedness,Urban %,Urban Agg %,RoadQuality,Km,Urb %,National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped,No. HPs,Year of HP estimate,2015 (C),No. HPs in 2015,Non-functional HPs,Functional HPS,Risk,Country or area,ISO Code,Data source category,Reference date (dd/mm/yyyy),Average household size (number of members)
ANT,Netherlands Antilles,321292.0,,,25.5,,,,,,,,,,,,,,,,,,,0.0,,,,,
SJM,Svalbard and Jan Mayen,2400.0,,,162.3,,,,,,,,,,,,,,,,,,,0.0,,,,,
BGR,Bulgaria,6896655.0,2000.0,22.62,147.9,75.6859970092773,18.66188621521,4.2,9.5,76.0,100.0,0.0,0.0,0.0,98.0,100.0,0.0,,,,,,,0.0,Bulgaria,100.0,LFS,7/1/11,2.34
YEM,Yemen,30490639.0,2006.0,9.32,232.3,37.9080009460449,10.0857858657837,2.8,23.0,38.0,61.0,29.0,8.0,3.0,49.0,56.0,34.0,,,,,,,0.0,Yemen,887.0,DHS,25/10/13,6.67
TCD,Chad,16914985.0,2004.0,21.5,41.9,23.5200004577637,8.72666263580322,3.2,11.0,24.0,46.0,15.0,32.0,8.0,9.0,20.0,41.0,3267.0,1106678.0,4041010.0,11929.0,1909.0,10020.0,0.0,Chad,148.0,MICS,7/1/19,5.97
MLI,Mali,20855724.0,2006.0,46.2,14.7,43.9090003967285,13.009349822998,3.8,9.6,44.0,83.0,4.0,12.0,1.0,36.0,50.0,37.0,22147.0,5580145.0,5580145.0,22147.0,6423.0,15724.0,0.0,Mali,466.0,DHS,27/9/18,5.81
OWID_CIS,Channel Islands,175244.0,,,,30.9629993438721,,,,,,,,,,,,,,,,,,0.0,,,,,
MDV,Maldives,543620.0,2009.0,39.9,1.2,40.6689987182617,,,,41.0,100.0,0.0,0.0,0.0,98.0,51.0,48.0,,,,,,,0.0,Maldives,462.0,DHS,21/1/17,5.4
MYS,Malaysia,32776195.0,2002.0,44.49,100.9,77.1600036621094,25.0510921478272,4.0,2.5,77.0,97.0,0.0,3.0,,94.0,95.0,2.0,,,,,,,0.0,Malaysia,458.0,IPUMS,7/1/00,4.56
MWI,Malawi,19647681.0,2010.0,43.8,102.7,17.4270000457764,5.95923233032227,3.9,2.5,17.0,70.0,22.0,6.0,2.0,18.0,22.0,70.0,24769.0,7018868.0,10828276.0,38212.0,8407.0,29805.0,0.0,Malawi,454.0,MICS,7/1/19,4.28
CHL,Chile,19212362.0,2002.0,53.1,248.1,87.7269973754883,35.4548988342285,5.7,3.2,88.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,Chile,152.0,IPUMS,7/1/17,3.04
MDG,Madagascar,28427333.0,2008.0,22.6,116.9,38.5340003967285,12.424409866333,2.2,,39.0,53.0,3.0,32.0,12.0,23.0,35.0,21.0,15068.0,3532216.0,3163536.0,13495.0,2699.0,10796.0,0.0,Madagascar,450.0,MICS,7/1/18,4.5
MAC,Macao,658391.0,,,73.2,100.0,,,,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,"China, Macao SAR",446.0,DYB,7/1/16,3.07
LUX,Luxembourg,634814.0,2002.0,64.04,88.1,91.4530029296875,,5.6,3.5,91.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,Luxembourg,442.0,LFS,7/1/11,2.41
CHN,China,1444216102.0,2010.0,62.97,187.8,61.4280014038086,29.7063808441162,5.5,2.7,62.0,94.0,0.0,5.0,0.0,93.0,80.0,15.0,,,,,,,0.0,China,156.0,DYB,7/1/10,..
LTU,Lithuania,2689862.0,2000.0,38.94,17.5,68.0459976196289,,5.5,2.2,68.0,98.0,0.0,2.0,0.0,95.0,96.0,2.0,,,,,,,0.0,Lithuania,440.0,LFS,7/1/11,2.32
MLT,Malta,442790.0,1997.0,41.47,152.7,94.7440032958984,,3.2,,95.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,Malta,470.0,LFS,7/1/11,2.85
LIE,Liechtenstein,38254.0,,,532.0,14.4160003662109,,,,14.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,Liechtenstein,438.0,DYB,7/1/15,2.26
LBY,Libya,6958538.0,,,40.3,80.6910018920898,16.809741973877,,233.0,81.0,100.0,0.0,0.0,0.0,90.0,78.0,22.0,,,,,,,0.0,,,,,
LBR,Liberia,5180208.0,2009.0,3.0,26.3,52.0890007019043,30.2898254394531,3.4,3.6,52.0,75.0,9.0,3.0,13.0,15.0,4.0,80.0,12684.0,1526658.0,1443089.0,11990.0,2398.0,9592.0,0.0,Liberia,430.0,DHS,2/1/19,4.58
LSO,Lesotho,2159067.0,2009.0,2.1,620.2,29.0279998779297,,3.5,2.4,29.0,72.0,10.0,12.0,5.0,29.0,69.0,14.0,831.0,338795.0,338795.0,831.0,216.0,615.0,0.0,Lesotho,426.0,MICS,7/1/18,3.73
COM,Comoros,888456.0,2002.0,6.71,332.8,29.3799991607666,,,,29.0,80.0,11.0,9.0,0.0,65.0,59.0,32.0,,,,,,,0.0,Comoros,174.0,DHS,15/10/12,5.37
LBN,Lebanon,6769151.0,2011.0,10.1,419.7,88.9250030517578,35.967041015625,3.3,,89.0,93.0,7.0,0.0,0.0,90.0,89.0,11.0,,,,,,,0.0,,,,,
LVA,Latvia,1866934.0,2002.0,17.98,15.4,68.3150024414063,,4.6,2.3,68.0,99.0,0.0,0.0,0.0,96.0,94.0,5.0,,,,,,,0.0,Latvia,428.0,DYB,7/1/21,2.26
COG,Congo,5657017.0,2005.0,5.9,15.2,67.8290023803711,65.8223266601563,,,68.0,74.0,10.0,10.0,6.0,53.0,53.0,31.0,511.0,407678.0,695285.0,871.0,436.0,435.0,0.0,Congo,178.0,MICS,7/1/14,4.22
LAO,Laos,7379358.0,2006.0,47.21,255.3,36.290000915527294,,2.8,2.3,36.0,85.0,4.0,11.0,0.0,84.0,31.0,58.0,,,,,,,0.0,Lao People's Dem. Republic,418.0,MICS,7/1/17,4.7
COK,Cook Islands,17572.0,,,96.0,,,,,75.0,100.0,0.0,0.0,0.0,87.0,89.0,11.0,,,,,,,0.0,Cook Islands,184.0,DYB,7/1/11,..
KGZ,Kyrgyzstan,6628347.0,2006.0,23.19,428.7,36.8559989929199,,2.9,1.9,37.0,92.0,2.0,2.0,5.0,71.0,94.0,0.0,,,,,,,0.0,Kyrgyzstan,417.0,MICS,7/1/18,4.05
KWT,Kuwait,4328553.0,,,24.5,100.0,73.3960494995117,4.9,88.0,100.0,100.0,0.0,0.0,0.0,100.0,,,,,,,,,0.0,,,,,
CRI,Costa Rica,5139053.0,1996.0,65.06,211.2,80.7710037231445,27.6422061920166,3.1,3.0,81.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,,,,0.0,Costa Rica,188.0,MICS,7/1/18,3.21
COL,Colombia,51265841.0,2010.0,33.3,88.5,81.4250030517578,44.3362922668457,3.3,3.1,81.0,97.0,0.0,0.0,1.0,96.0,89.0,9.0,,,,,,,0.0,Colombia,170.0,DHS,28/8/15,3.53
KIR,Kiribati,121388.0,,,1.0,55.5940017700195,,,,56.0,78.0,4.0,18.0,0.0,56.0,39.0,43.0,,,,,,,0.0,Kiribati,296.0,MICS,7/1/18,5.9
MHL,Marshall Islands,59618.0,,,1.4,77.7939987182617,,,,78.0,89.0,11.0,0.0,0.0,83.0,31.0,69.0,,,,,,,0.0,,,,,
