,Country or area,ISO Code,Data source category,Reference date (dd/mm/yyyy),Average household size (number of members),alpha3
0,Afghanistan,4,MICS,7/1/10,7.75,AFG
1,Afghanistan,4,DHS,19/10/15,8.04,AFG
2,Albania,8,MICS,7/1/00,4.35,ALB
3,Albania,8,MICS,7/1/05,4.00,ALB
4,Albania,8,DHS,21/1/09,3.82,ALB
5,Albania,8,DYB,7/1/11,3.86,ALB
6,Albania,8,DHS,12/1/17,3.30,ALB
7,Algeria,12,MICS,7/1/12,5.42,DZA
8,Algeria,12,MICS,7/1/18,4.94,DZA
9,Angola,24,MICS,7/1/01,4.75,AGO
10,Angola,24,DHS,29/1/07,5.69,AGO
11,Angola,24,DHS,3/1/11,4.98,AGO
12,Angola,24,DHS,1/1/16,4.82,AGO
13,Argentina,32,IPUMS,7/1/70,3.78,ARG
14,Argentina,32,IPUMS,7/1/80,3.86,ARG
15,Argentina,32,IPUMS,7/1/01,3.57,ARG
16,Argentina,32,DYB,7/1/10,3.26,ARG
17,Argentina,32,IPUMS,7/1/10,3.26,ARG
18,Argentina,32,MICS,7/1/11,3.26,ARG
19,Argentina,32,MICS,7/1/19,2.95,ARG
20,Armenia,51,DHS,11/2/00,4.34,ARM
21,Armenia,51,DYB,7/1/01,4.14,ARM
22,Armenia,51,IPUMS,7/1/01,3.99,ARM
23,Armenia,51,DHS,17/10/05,3.76,ARM
24,Armenia,51,DHS,15/11/10,3.56,ARM
25,Armenia,51,DYB,7/1/11,3.96,ARM
26,Armenia,51,IPUMS,7/1/11,4.01,ARM
27,Armenia,51,DHS,2/5/16,3.54,ARM
28,Aruba,533,DYB,7/1/10,2.89,ABW
29,Australia,36,DYB,7/1/06,2.5,AUS
30,Australia,36,DYB,7/1/11,2.5,AUS
31,Australia,36,DYB,7/1/16,2.55,AUS
32,Austria,40,IPUMS,7/1/71,2.88,AUT
33,Austria,40,IPUMS,7/1/81,2.71,AUT
34,Austria,40,IPUMS,7/1/91,2.55,AUT
35,Austria,40,DYB,7/1/01,2.38,AUT
36,Austria,40,IPUMS,7/1/01,2.38,AUT
37,Austria,40,LFS,7/1/01,2.42,AUT
38,Austria,40,DYB,7/1/11,2.27,AUT
39,Austria,40,IPUMS,7/1/11,2.27,AUT
40,Austria,40,LFS,7/1/11,2.27,AUT
41,Azerbaijan,31,DYB,7/1/99,..,AZE
42,Azerbaijan,31,MICS,7/1/00,4.61,AZE
43,Azerbaijan,31,DHS,14/9/06,4.15,AZE
44,Azerbaijan,31,DYB,7/1/09,4.55,AZE
45,Bahamas,44,DYB,7/1/10,3.4,BHS
46,Bangladesh,50,IPUMS,7/1/91,5.45,BGD
47,Bangladesh,50,DHS,13/1/94,5.46,BGD
48,Bangladesh,50,DHS,1/5/97,5.3,BGD
49,Bangladesh,50,DHS,30/1/00,5.17,BGD
50,Bangladesh,50,IPUMS,7/1/01,4.85,BGD
51,Bangladesh,50,DHS,14/3/04,4.96,BGD
52,Bangladesh,50,MICS,7/1/06,4.83,BGD
53,Bangladesh,50,DHS,6/2/07,4.71,BGD
54,Bangladesh,50,DYB,7/1/11,..,BGD
55,Bangladesh,50,IPUMS,7/1/11,4.44,BGD
56,Bangladesh,50,DHS,10/4/11,4.6,BGD
57,Bangladesh,50,MICS,7/1/12,4.57,BGD
58,Bangladesh,50,DHS,22/8/14,4.47,BGD
