alpha3,PBO,Terrain Ruggedness,Urban %,Urban Agg %,RoadQuality,Km,Urb %,Average household size (number of members),National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped,Average Weight,percent_insufficient_activity
ABW,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
AFG,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
AGO,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
AIA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
ALB,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
AND,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ARE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ARG,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ARM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ASM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ATG,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated
AUS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AUT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
AZE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
BDI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
BEL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BEN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BES,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
BFA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BGD,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BGR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BHR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated
BHS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BIH,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BLR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BLZ,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
BMU,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BOL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
BRA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BRB,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BRN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BTN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
BWA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CAF,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CAN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CHE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CHL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CHN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CIV,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CMR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
COD,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
COG,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
COK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
COL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
COM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CPV,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CRI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CUB,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CUW,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
CYM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,none
CYP,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
CZE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DEU,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DJI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated
DMA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DNK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DOM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DZA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ECU,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
EGY,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ERI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ESH,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,border interpolated,border interpolated
ESP,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
EST,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ETH,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
FIN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
FJI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
FLK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
FRA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
FRO,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,subregion interpolated,subregion interpolated
FSM,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GAB,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GBR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
GEO,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
