alpha3,Country,Year,Population,Urb %,National At Least Basic,National Limit (more than 30 mins),National Unimproved,National Surface Water,Nat Accesible On Premises,Nat Piped,Nat NonPiped
ABW,Mauritius,2015.0,1259.0,41.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
AFG,Afghanistan,2015.0,34414.0,25.0,61.0,4.0,22.0,13.0,37.0,17.0,48.0
AGO,Malta,2015.0,434.0,94.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
AIA,Mayotte,2015.0,240.0,47.0,97.0,0.0,0.0,3.0,91.0,94.0,2.0
ALB,Mauritania,2015.0,4046.0,51.0,67.0,15.0,18.0,0.0,41.0,49.0,33.0
AND,Maldives,2015.0,455.0,39.0,99.0,0.0,1.0,0.0,96.0,46.0,53.0
ARE,Liechtenstein,2015.0,37.0,14.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
ARG,Malaysia,2015.0,30271.0,74.0,97.0,0.0,3.0,0.0,94.0,95.0,3.0
ARM,Micronesia (Federated States of),2015.0,109.0,22.0,88.0,0.0,12.0,0.0,62.0,44.0,44.0
ASM,Mali,2015.0,17439.0,40.0,74.0,4.0,19.0,2.0,31.0,42.0,36.0
ATG,Libya,2015.0,6418.0,79.0,97.0,0.0,3.0,0.0,87.0,75.0,22.0
AUS,New Zealand,2015.0,4615.0,86.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
AUT,Netherlands,2015.0,16938.0,90.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
AZE,Nauru,2015.0,10.0,100.0,100.0,0.0,0.0,0.0,100.0,53.0,47.0
BDI,Mozambique,2015.0,27042.0,34.0,51.0,10.0,27.0,12.0,23.0,35.0,27.0
BEL,Montserrat,2015.0,5.0,9.0,98.0,0.0,2.0,0.0,98.0,98.0,0.0
BEN,Mongolia,2015.0,2998.0,68.0,81.0,4.0,8.0,8.0,28.0,27.0,58.0
BFA,Lesotho,2015.0,2059.0,27.0,71.0,11.0,15.0,4.0,23.0,67.0,15.0
BGD,Montenegro,2015.0,627.0,66.0,97.0,2.0,0.0,0.0,95.0,89.0,10.0
BGR,Guyana,2015.0,767.0,26.0,95.0,1.0,1.0,2.0,94.0,65.0,31.0
BHR,Morocco,2015.0,34664.0,61.0,84.0,6.0,9.0,2.0,74.0,76.0,14.0
BHS,Myanmar,2015.0,52681.0,30.0,74.0,7.0,8.0,11.0,53.0,27.0,53.0
BIH,Grenada,2015.0,110.0,36.0,96.0,1.0,0.0,3.0,90.0,92.0,4.0
BLM,Greece,2015.0,10660.0,78.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
BLR,Lebanon,2015.0,6533.0,88.0,91.0,7.0,1.0,0.0,88.0,88.0,11.0
BLZ,GuineaBissau,2015.0,1737.0,42.0,59.0,11.0,30.0,0.0,23.0,30.0,40.0
BMU,Guadeloupe,2015.0,400.0,98.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
BOL,Gibraltar,2015.0,34.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
BRA,Niue,2015.0,2.0,43.0,98.0,0.0,2.0,0.0,95.0,95.0,3.0
BRB,Liberia,2015.0,4472.0,50.0,73.0,7.0,7.0,14.0,13.0,6.0,74.0
BRN,Kuwait,2015.0,3836.0,100.0,100.0,0.0,0.0,0.0,100.0,79.0,18.0
BTN,Greenland,2015.0,56.0,86.0,100.0,0.0,0.0,0.0,97.0,100.0,0.0
BWA,Gambia,2015.0,2086.0,59.0,79.0,9.0,12.0,0.0,39.0,72.0,16.0
CAF,Isle of Man,2015.0,83.0,52.0,100.0,0.0,0.0,0.0,97.0,98.0,0.0
CAN,Iraq,2015.0,35572.0,70.0,94.0,1.0,2.0,3.0,88.0,82.0,14.0
CHE,Indonesia,2015.0,258383.0,53.0,89.0,0.0,9.0,2.0,65.0,29.0,60.0
CHL,Gabon,2015.0,1948.0,88.0,84.0,8.0,5.0,3.0,69.0,82.0,10.0
CHN,Norway,2015.0,5200.0,81.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
CIV,Thailand,2015.0,68715.0,48.0,100.0,0.0,0.0,0.0,98.0,70.0,29.0
CMR,Iran (Islamic Republic of),2015.0,78492.0,73.0,97.0,2.0,1.0,0.0,93.0,98.0,1.0
COD,Sweden,2015.0,9765.0,87.0,100.0,0.0,0.0,0.0,100.0,87.0,12.0
COG,Suriname,2015.0,559.0,66.0,96.0,0.0,1.0,2.0,93.0,78.0,19.0
COK,Spain,2015.0,46672.0,80.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
COL,South Africa,2015.0,55386.0,65.0,92.0,3.0,2.0,3.0,75.0,89.0,6.0
COM,Solomon Islands,2015.0,603.0,22.0,69.0,6.0,19.0,6.0,53.0,48.0,27.0
CPV,Israel,2015.0,7978.0,92.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0
CRI,Trinidad and Tobago,2015.0,1370.0,53.0,98.0,1.0,0.0,0.0,98.0,91.0,8.0
CUB,Uzbekistan,2015.0,30930.0,51.0,98.0,0.0,0.0,2.0,59.0,71.0,27.0
CYM,North Macedonia,2015.0,2079.0,57.0,97.0,2.0,0.0,0.0,95.0,92.0,7.0
CYP,United Republic of Tanzania,2015.0,51483.0,32.0,53.0,11.0,21.0,14.0,24.0,37.0,28.0
CZE,United Arab Emirates,2015.0,9263.0,86.0,100.0,0.0,0.0,0.0,99.0,93.0,7.0
DEU,Uganda,2015.0,38225.0,22.0,48.0,30.0,15.0,7.0,12.0,20.0,58.0
DJI,Turks and Caicos Islands,2015.0,36.0,92.0,94.0,0.0,6.0,0.0,90.0,68.0,26.0
DMA,Turkey,2015.0,78529.0,74.0,96.0,2.0,2.0,0.0,92.0,95.0,3.0
DNK,Slovenia,2015.0,2071.0,54.0,100.0,0.0,0.0,0.0,98.0,98.0,2.0
